update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
10000,10000,666,1,0.986668,326.948241511803,327,0.0326948241511803,0.49099099099099097,326.948241512,327,0.0326948241512,0.490990990991
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
20000,20000,1333,2,0.9733346666666667,679.9184482929379,514,0.0339959224146469,0.514,679.918448293,514,0.0339959224146,0.514
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
30000,30000,2000,3,0.9600013333333334,993.8176173999757,497,0.03312725391333252,0.497,993.8176174,497,0.0331272539133,0.497
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
40000,40000,2666,4,0.946668,1324.743208231743,491,0.03311858020579357,0.491,1324.74320823,491,0.0331185802058,0.491
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
50000,50000,3333,5,0.9333346666666666,1649.6558859513705,487,0.03299311771902741,0.487,1649.65588595,487,0.032993117719,0.487
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
60000,60000,4000,7,0.9200013333333333,1967.4677679852953,483,0.03279112946642159,0.483,1967.46776799,483,0.0327911294664,0.483
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
70000,70000,4666,8,0.906668,2283.2143271784967,473,0.03261734753112138,0.473,2283.21432718,473,0.0326173475311,0.473
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
80000,80000,5333,9,0.8933346666666666,2626.679144292816,495,0.0328334893036602,0.495,2626.67914429,495,0.0328334893037,0.495
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
90000,90000,6000,10,0.8800013333333333,2946.597858245648,493,0.03273997620272942,0.493,2946.59785825,493,0.0327399762027,0.493
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
100000,100000,6666,11,0.866668,3277.579116057791,492,0.03277579116057791,0.492,3277.57911606,492,0.0327757911606,0.492
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
110000,110000,7333,13,0.8533346666666667,3613.983345899933,516,0.03285439405363575,0.516,3613.9833459,516,0.0328543940536,0.516
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
120000,120000,8000,14,0.8400013333333334,3947.628498232766,506,0.032896904151939715,0.506,3947.62849823,506,0.0328969041519,0.506
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
130000,130000,8666,15,0.826668,4265.193595196169,489,0.03280918150150899,0.489,4265.1935952,489,0.0328091815015,0.489
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
140000,140000,9333,16,0.8133346666666667,4571.846379504226,462,0.03265604556788733,0.462,4571.8463795,462,0.0326560455679,0.462
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
150000,150000,10000,18,0.8000013333333333,4890.413102466581,477,0.03260275401644387,0.477,4890.41310247,477,0.0326027540164,0.477
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
160000,160000,10666,19,0.786668,5235.037895375034,504,0.032718986846093964,0.504,5235.03789538,504,0.0327189868461,0.504
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
170000,170000,11333,20,0.7733346666666667,5579.1353316213945,509,0.032818443127184675,0.509,5579.13533162,509,0.0328184431272,0.509
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
180000,180000,12000,21,0.7600013333333333,5929.841140570598,522,0.03294356189205888,0.522,5929.84114057,522,0.0329435618921,0.522
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
190000,190000,12666,22,0.746668,6272.453774739398,518,0.033012914603891566,0.518,6272.45377474,518,0.0330129146039,0.518
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
200000,200000,13333,24,0.7333346666666667,6597.303901882325,499,0.03298651950941162,0.499,6597.30390188,499,0.0329865195094,0.499
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
210000,210000,14000,25,0.7200013333333333,6918.555595263264,486,0.03294550283458697,0.486,6918.55559526,486,0.0329455028346,0.486
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
220000,220000,14666,26,0.7066680000000001,7245.05658111073,494,0.032932075368685136,0.494,7245.05658111,494,0.0329320753687,0.494
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
230000,230000,15333,27,0.6933346666666667,7585.7890986799885,503,0.03298169173339125,0.503,7585.78909868,503,0.0329816917334,0.503
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
240000,240000,16000,29,0.6800013333333333,7913.750712426005,501,0.03297396130177502,0.501,7913.75071243,501,0.0329739613018,0.501
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
250000,250000,16666,30,0.666668,8243.864561657538,506,0.03297545824663015,0.506,8243.86456166,506,0.0329754582466,0.506
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
260000,260000,17333,31,0.6533346666666666,8564.937191437437,485,0.032942066120913216,0.485,8564.93719144,485,0.0329420661209,0.485
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
270000,270000,18000,32,0.6400013333333333,8874.924547549543,477,0.032870090916850156,0.477,8874.92454755,477,0.0328700909169,0.477
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
280000,280000,18666,34,0.626668,9186.982128997979,464,0.032810650460707066,0.464,9186.982129,464,0.0328106504607,0.464
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
290000,290000,19333,35,0.6133346666666666,9503.364451724265,466,0.03277022224732505,0.466,9503.36445172,466,0.0327702222473,0.466
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
300000,300000,20000,36,0.6000013333333334,9832.712776287268,504,0.032775709254290894,0.504,9832.71277629,504,0.0327757092543,0.504
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
310000,310000,20666,38,0.586668,10179.274493530393,505,0.03283636933396901,0.505,10179.2744935,505,0.032836369334,0.505
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
320000,320000,21333,39,0.5733346666666667,10487.735652645708,483,0.03277417391451784,0.483,10487.7356526,483,0.0327741739145,0.483
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
330000,330000,22000,40,0.5600013333333334,10807.971025277724,478,0.032751427349326435,0.478,10807.9710253,478,0.0327514273493,0.478
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
340000,340000,22666,41,0.5466679999999999,11143.415359274997,504,0.03277475105669117,0.504,11143.4153593,504,0.0327747510567,0.504
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
350000,350000,23333,43,0.5333346666666667,11473.540707956883,495,0.032781544879876806,0.495,11473.540708,495,0.0327815448799,0.495
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
360000,360000,24000,44,0.5200013333333333,11769.684242661855,463,0.03269356734072738,0.463,11769.6842427,463,0.0326935673407,0.463
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
370000,370000,24666,45,0.506668,12063.658315350911,449,0.03260448193338084,0.449,12063.6583154,449,0.0326044819334,0.449
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
380000,380000,25333,47,0.4933346666666667,12376.152457488099,456,0.03256882225654763,0.456,12376.1524575,456,0.0325688222565,0.456
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
390000,390000,26000,48,0.4800013333333333,12699.39754432965,470,0.03256255780597346,0.47,12699.3975443,470,0.032562557806,0.47
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
400000,400000,26666,49,0.46666799999999997,13000.73396556525,464,0.032501834913913126,0.464,13000.7339656,464,0.0325018349139,0.464
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
410000,410000,27333,51,0.45333466666666666,13318.828692065445,465,0.03248494802942791,0.465,13318.8286921,465,0.0324849480294,0.465
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
420000,420000,28000,52,0.44000133333333336,13628.48867390373,479,0.03244878255691364,0.479,13628.4886739,479,0.0324487825569,0.479
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
430000,430000,28666,53,0.42666800000000005,13937.269999736454,455,0.03241225581334059,0.455,13937.2699997,455,0.0324122558133,0.455
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
440000,440000,29333,55,0.41333466666666663,14242.568650208608,457,0.032369474205019566,0.457,14242.5686502,457,0.032369474205,0.457
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
450000,450000,30000,56,0.4000013333333333,14552.995365397335,455,0.03233998970088297,0.455,14552.9953654,455,0.0323399897009,0.455
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
460000,460000,30666,57,0.386668,14861.627113256778,468,0.03230788502881908,0.468,14861.6271133,468,0.0323078850288,0.468
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
470000,470000,31333,59,0.3733346666666667,15171.009445586402,453,0.03227874350124766,0.453,15171.0094456,453,0.0322787435012,0.453
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
480000,480000,32000,60,0.3600013333333333,15463.00032322153,439,0.03221458400671152,0.439,15463.0003232,439,0.0322145840067,0.439
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
490000,490000,32666,61,0.346668,15766.055712054607,453,0.03217562390215226,0.453,15766.0557121,453,0.0321756239022,0.453
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
500000,500000,33333,63,0.33333466666666667,16077.221073544186,466,0.032154442147088375,0.466,16077.2210735,466,0.0321544421471,0.466
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
510000,510000,34000,64,0.32000133333333336,16375.156163037553,455,0.03210814933928932,0.455,16375.156163,455,0.0321081493393,0.455
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
520000,520000,34666,65,0.30666800000000005,16710.821007007784,483,0.03213619424424574,0.483,16710.821007,483,0.0321361942442,0.483
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
530000,530000,35333,67,0.29333466666666663,17017.02162972342,480,0.032107587980610225,0.48,17017.0216297,480,0.0321075879806,0.48
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
540000,540000,36000,68,0.2800013333333333,17358.562337459403,486,0.03214548581011001,0.486,17358.5623375,486,0.0321454858101,0.486
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
550000,550000,36666,69,0.266668,17666.90852659203,486,0.03212165186653096,0.486,17666.9085266,486,0.0321216518665,0.486
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
560000,560000,37333,71,0.2533346666666667,17960.40738263246,454,0.032072156040415106,0.454,17960.4073826,454,0.0320721560404,0.454
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
570000,570000,38000,72,0.2400013333333333,18259.526051321398,436,0.03203425623038842,0.436,18259.5260513,436,0.0320342562304,0.436
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
580000,580000,38666,73,0.22666799999999998,18562.872815671908,439,0.032004953130468805,0.439,18562.8728157,439,0.0320049531305,0.439
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
590000,590000,39333,75,0.21333466666666667,18849.67563605298,437,0.03194860277297115,0.437,18849.6756361,437,0.031948602773,0.437
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
600000,600000,40000,76,0.20000133333333336,19167.273188214076,447,0.03194545531369013,0.447,19167.2731882,447,0.0319454553137,0.447
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
610000,610000,40666,78,0.18666799999999995,19435.34926279518,422,0.03186122829966423,0.422,19435.3492628,422,0.0318612282997,0.422
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
620000,620000,41333,79,0.17333466666666664,19745.478605985965,453,0.03184754613868704,0.453,19745.478606,453,0.0318475461387,0.453
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
630000,630000,42000,80,0.16000133333333333,20032.759854846066,462,0.031798031515628676,0.462,20032.7598548,462,0.0317980315156,0.462
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
640000,640000,42666,82,0.14666800000000002,20349.54096825414,469,0.03179615776289709,0.469,20349.5409683,469,0.0317961577629,0.469
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
650000,650000,43333,83,0.1333346666666667,20653.60218488475,472,0.03177477259213038,0.472,20653.6021849,472,0.0317747725921,0.472
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
660000,660000,44000,85,0.1200013333333333,20943.256876499836,452,0.031732207388636115,0.452,20943.2568765,452,0.0317322073886,0.452
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
670000,670000,44666,86,0.10666799999999999,21245.092747321523,459,0.03170909365271869,0.459,21245.0927473,459,0.0317090936527,0.459
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
