main.py --seed 7 --gamma 0.90

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=450000, eps_start=1.0, frames=1500000, games=500, gamma=0.9, log_interval=10000, lr=0.0001, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 470000 | F 470000 | G 31333 | D 87 | EPS 0.001 | L 15572.821 | R 703.000 | Avg L 0.033 | Avg R 0.703
U 480000 | F 480000 | G 32000 | D 88 | EPS 0.001 | L 15998.179 | R 682.000 | Avg L 0.033 | Avg R 0.682
U 490000 | F 490000 | G 32666 | D 89 | EPS 0.001 | L 16429.090 | R 676.000 | Avg L 0.034 | Avg R 0.676
U 500000 | F 500000 | G 33333 | D 91 | EPS 0.001 | L 16890.486 | R 718.000 | Avg L 0.034 | Avg R 0.718
U 510000 | F 510000 | G 34000 | D 92 | EPS 0.001 | L 17329.597 | R 707.000 | Avg L 0.034 | Avg R 0.707
U 520000 | F 520000 | G 34666 | D 93 | EPS 0.001 | L 17773.648 | R 702.000 | Avg L 0.034 | Avg R 0.702
U 530000 | F 530000 | G 35333 | D 95 | EPS 0.001 | L 18201.809 | R 696.000 | Avg L 0.034 | Avg R 0.696
U 540000 | F 540000 | G 36000 | D 96 | EPS 0.001 | L 18629.441 | R 691.000 | Avg L 0.034 | Avg R 0.691
U 550000 | F 550000 | G 36666 | D 98 | EPS 0.001 | L 19050.813 | R 699.000 | Avg L 0.035 | Avg R 0.699
U 560000 | F 560000 | G 37333 | D 99 | EPS 0.001 | L 19476.611 | R 704.000 | Avg L 0.035 | Avg R 0.704
U 570000 | F 570000 | G 38000 | D 100 | EPS 0.001 | L 19914.854 | R 713.000 | Avg L 0.035 | Avg R 0.713
U 580000 | F 580000 | G 38666 | D 101 | EPS 0.001 | L 20347.740 | R 722.000 | Avg L 0.035 | Avg R 0.722
U 590000 | F 590000 | G 39333 | D 103 | EPS 0.001 | L 20753.671 | R 701.000 | Avg L 0.035 | Avg R 0.701
U 600000 | F 600000 | G 40000 | D 104 | EPS 0.001 | L 21192.247 | R 709.000 | Avg L 0.035 | Avg R 0.709
U 610000 | F 610000 | G 40666 | D 105 | EPS 0.001 | L 21604.785 | R 710.000 | Avg L 0.035 | Avg R 0.710
U 620000 | F 620000 | G 41333 | D 107 | EPS 0.001 | L 22012.983 | R 695.000 | Avg L 0.036 | Avg R 0.695
U 630000 | F 630000 | G 42000 | D 108 | EPS 0.001 | L 22421.734 | R 691.000 | Avg L 0.036 | Avg R 0.691
U 640000 | F 640000 | G 42666 | D 109 | EPS 0.001 | L 22837.500 | R 703.000 | Avg L 0.036 | Avg R 0.703
U 650000 | F 650000 | G 43333 | D 111 | EPS 0.001 | L 23241.331 | R 696.000 | Avg L 0.036 | Avg R 0.696
U 660000 | F 660000 | G 44000 | D 112 | EPS 0.001 | L 23652.243 | R 699.000 | Avg L 0.036 | Avg R 0.699
U 670000 | F 670000 | G 44666 | D 113 | EPS 0.001 | L 24069.464 | R 716.000 | Avg L 0.036 | Avg R 0.716
U 680000 | F 680000 | G 45333 | D 115 | EPS 0.001 | L 24474.872 | R 710.000 | Avg L 0.036 | Avg R 0.710
U 690000 | F 690000 | G 46000 | D 116 | EPS 0.001 | L 24880.129 | R 705.000 | Avg L 0.036 | Avg R 0.705
U 700000 | F 700000 | G 46666 | D 117 | EPS 0.001 | L 25285.364 | R 711.000 | Avg L 0.036 | Avg R 0.711
U 710000 | F 710000 | G 47333 | D 119 | EPS 0.001 | L 25684.050 | R 686.000 | Avg L 0.036 | Avg R 0.686
U 720000 | F 720000 | G 48000 | D 120 | EPS 0.001 | L 26064.034 | R 703.000 | Avg L 0.036 | Avg R 0.703
U 730000 | F 730000 | G 48666 | D 121 | EPS 0.001 | L 26457.539 | R 700.000 | Avg L 0.036 | Avg R 0.700
U 740000 | F 740000 | G 49333 | D 123 | EPS 0.001 | L 26860.349 | R 711.000 | Avg L 0.036 | Avg R 0.711
U 750000 | F 750000 | G 50000 | D 124 | EPS 0.001 | L 27259.443 | R 718.000 | Avg L 0.036 | Avg R 0.718
U 760000 | F 760000 | G 50666 | D 126 | EPS 0.001 | L 27644.468 | R 700.000 | Avg L 0.036 | Avg R 0.700
U 770000 | F 770000 | G 51333 | D 127 | EPS 0.001 | L 28018.075 | R 690.000 | Avg L 0.036 | Avg R 0.690
U 780000 | F 780000 | G 52000 | D 128 | EPS 0.001 | L 28401.731 | R 701.000 | Avg L 0.036 | Avg R 0.701
U 790000 | F 790000 | G 52666 | D 130 | EPS 0.001 | L 28772.190 | R 688.000 | Avg L 0.036 | Avg R 0.688
U 800000 | F 800000 | G 53333 | D 131 | EPS 0.001 | L 29118.852 | R 657.000 | Avg L 0.036 | Avg R 0.657
U 810000 | F 810000 | G 54000 | D 132 | EPS 0.001 | L 29507.858 | R 708.000 | Avg L 0.036 | Avg R 0.708
U 820000 | F 820000 | G 54666 | D 134 | EPS 0.001 | L 29901.538 | R 725.000 | Avg L 0.036 | Avg R 0.725
U 830000 | F 830000 | G 55333 | D 135 | EPS 0.001 | L 30285.647 | R 726.000 | Avg L 0.036 | Avg R 0.726
U 840000 | F 840000 | G 56000 | D 137 | EPS 0.001 | L 30660.725 | R 717.000 | Avg L 0.037 | Avg R 0.717
U 850000 | F 850000 | G 56666 | D 138 | EPS 0.001 | L 31019.209 | R 709.000 | Avg L 0.036 | Avg R 0.709
U 860000 | F 860000 | G 57333 | D 139 | EPS 0.001 | L 31413.501 | R 720.000 | Avg L 0.037 | Avg R 0.720
U 870000 | F 870000 | G 58000 | D 141 | EPS 0.001 | L 31766.142 | R 710.000 | Avg L 0.037 | Avg R 0.710
U 880000 | F 880000 | G 58666 | D 142 | EPS 0.001 | L 32116.743 | R 701.000 | Avg L 0.036 | Avg R 0.701
U 890000 | F 890000 | G 59333 | D 144 | EPS 0.001 | L 32488.793 | R 691.000 | Avg L 0.037 | Avg R 0.691
U 900000 | F 900000 | G 60000 | D 145 | EPS 0.001 | L 32844.612 | R 693.000 | Avg L 0.036 | Avg R 0.693
U 910000 | F 910000 | G 60666 | D 146 | EPS 0.001 | L 33201.616 | R 690.000 | Avg L 0.036 | Avg R 0.690
U 920000 | F 920000 | G 61333 | D 148 | EPS 0.001 | L 33564.723 | R 712.000 | Avg L 0.036 | Avg R 0.712
U 930000 | F 930000 | G 62000 | D 150 | EPS 0.001 | L 33917.871 | R 715.000 | Avg L 0.036 | Avg R 0.715
U 940000 | F 940000 | G 62666 | D 151 | EPS 0.001 | L 34286.373 | R 708.000 | Avg L 0.036 | Avg R 0.708
U 950000 | F 950000 | G 63333 | D 152 | EPS 0.001 | L 34645.208 | R 729.000 | Avg L 0.036 | Avg R 0.729
