main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.01, eps_frames=75000, eps_start=1.0, frames=3000000, games=500, gamma=0.99, log_interval=20000, lr=0.01, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 20000 | F 20000 | G 6666 | D 2 | EPS 0.733 | L 186.243 | R 432.000 | Avg L 0.186 | Avg R 0.432
U 40000 | F 40000 | G 13333 | D 4 | EPS 0.467 | L 26.840 | R 305.000 | Avg L 0.027 | Avg R 0.305
U 60000 | F 60000 | G 20000 | D 7 | EPS 0.200 | L -9.862 | R 222.000 | Avg L -0.010 | Avg R 0.222
U 80000 | F 80000 | G 26666 | D 10 | EPS 0.010 | L 5.981 | R 120.000 | Avg L 0.006 | Avg R 0.120
U 100000 | F 100000 | G 33333 | D 13 | EPS 0.010 | L 20.265 | R 146.000 | Avg L 0.020 | Avg R 0.146
U 120000 | F 120000 | G 40000 | D 15 | EPS 0.010 | L 7.911 | R 142.000 | Avg L 0.008 | Avg R 0.142
U 140000 | F 140000 | G 46666 | D 18 | EPS 0.010 | L 11.827 | R 135.000 | Avg L 0.012 | Avg R 0.135
U 160000 | F 160000 | G 53333 | D 21 | EPS 0.010 | L 5.248 | R 141.000 | Avg L 0.005 | Avg R 0.141
U 180000 | F 180000 | G 60000 | D 23 | EPS 0.010 | L 9.894 | R 147.000 | Avg L 0.010 | Avg R 0.147
U 200000 | F 200000 | G 66666 | D 26 | EPS 0.010 | L -8.521 | R 132.000 | Avg L -0.009 | Avg R 0.132
U 220000 | F 220000 | G 73333 | D 29 | EPS 0.010 | L 9.834 | R 152.000 | Avg L 0.010 | Avg R 0.152
U 240000 | F 240000 | G 80000 | D 35 | EPS 0.010 | L -8.399 | R 113.000 | Avg L -0.008 | Avg R 0.113
U 260000 | F 260000 | G 86666 | D 38 | EPS 0.010 | L -12.311 | R 121.000 | Avg L -0.012 | Avg R 0.121
U 280000 | F 280000 | G 93333 | D 40 | EPS 0.010 | L 1.213 | R 118.000 | Avg L 0.001 | Avg R 0.118
U 300000 | F 300000 | G 100000 | D 43 | EPS 0.010 | L 8.762 | R 137.000 | Avg L 0.009 | Avg R 0.137
U 320000 | F 320000 | G 106666 | D 46 | EPS 0.010 | L 4.433 | R 123.000 | Avg L 0.004 | Avg R 0.123
U 340000 | F 340000 | G 113333 | D 49 | EPS 0.010 | L 10.036 | R 142.000 | Avg L 0.010 | Avg R 0.142
U 360000 | F 360000 | G 120000 | D 52 | EPS 0.010 | L 12.296 | R 128.000 | Avg L 0.012 | Avg R 0.128
U 380000 | F 380000 | G 126666 | D 55 | EPS 0.010 | L 6.168 | R 137.000 | Avg L 0.006 | Avg R 0.137
U 400000 | F 400000 | G 133333 | D 58 | EPS 0.010 | L 2.445 | R 123.000 | Avg L 0.002 | Avg R 0.123
U 420000 | F 420000 | G 140000 | D 61 | EPS 0.010 | L 7.791 | R 134.000 | Avg L 0.008 | Avg R 0.134
U 440000 | F 440000 | G 146666 | D 63 | EPS 0.010 | L -12.030 | R 125.000 | Avg L -0.012 | Avg R 0.125
U 460000 | F 460000 | G 153333 | D 66 | EPS 0.010 | L -5.090 | R 137.000 | Avg L -0.005 | Avg R 0.137
U 480000 | F 480000 | G 160000 | D 68 | EPS 0.010 | L 0.594 | R 137.000 | Avg L 0.001 | Avg R 0.137
U 500000 | F 500000 | G 166666 | D 71 | EPS 0.010 | L -0.932 | R 139.000 | Avg L -0.001 | Avg R 0.139
