update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
20000,20000,6666,2,0.7333466666666666,-0.75,456,-0.00075,0.456,-0.75,456,-0.00075,0.456
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
40000,40000,13333,5,0.46668,3.375,412,0.003375,0.412,3.375,412,0.003375,0.412
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
60000,60000,20000,8,0.20001333333333338,-3.0,431,-0.003,0.431,-3.0,431,-0.003,0.431
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
80000,80000,26666,11,0.001,-0.5,519,-0.0005,0.519,-0.5,519,-0.0005,0.519
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
100000,100000,33333,14,0.001,1.0,281,0.001,0.281,1.0,281,0.001,0.281
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
120000,120000,40000,16,0.001,-0.75,249,-0.00075,0.249,-0.75,249,-0.00075,0.249
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
140000,140000,46666,19,0.001,-0.5,222,-0.0005,0.222,-0.5,222,-0.0005,0.222
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
160000,160000,53333,22,0.001,-0.5,495,-0.0005,0.495,-0.5,495,-0.0005,0.495
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
180000,180000,60000,24,0.001,-0.125,486,-0.000125,0.486,-0.125,486,-0.000125,0.486
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
200000,200000,66666,27,0.001,1.75,500,0.00175,0.5,1.75,500,0.00175,0.5
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
220000,220000,73333,30,0.001,0.5,332,0.0005,0.332,0.5,332,0.0005,0.332
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
240000,240000,80000,32,0.001,0.0,516,0.0,0.516,0.0,516,0.0,0.516
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
260000,260000,86666,35,0.001,0.0,524,0.0,0.524,0.0,524,0.0,0.524
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
280000,280000,93333,38,0.001,-1.0625,499,-0.0010625,0.499,-1.0625,499,-0.0010625,0.499
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
300000,300000,100000,41,0.001,1.5,288,0.0015,0.288,1.5,288,0.0015,0.288
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
320000,320000,106666,43,0.001,0.25,503,0.00025,0.503,0.25,503,0.00025,0.503
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
340000,340000,113333,46,0.001,0.5,265,0.0005,0.265,0.5,265,0.0005,0.265
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
