21,21,7,0,0.986,0.1,-4.0,3,-0.5714285714285714,0.42857142857142855,-4.0,3,-0.571428571429,0.428571428571
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
22,22,7,0,0.986,0.1,-4.0,3,-0.5714285714285714,0.42857142857142855,-4.0,3,-0.571428571429,0.428571428571
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
23,23,7,0,0.9853333333333333,0.1,-4.0,3,-0.5714285714285714,0.42857142857142855,-4.0,3,-0.571428571429,0.428571428571
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
24,24,7,0,0.9846666666666667,0.1,-4.0,3,-0.5714285714285714,0.42857142857142855,-4.0,3,-0.571428571429,0.428571428571
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
24,24,8,0,0.984,0.1,-5.29,3,-0.66125,0.375,-5.29,3,-0.66125,0.375
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
25,25,8,0,0.984,0.1,-5.29,3,-0.66125,0.375,-5.29,3,-0.66125,0.375
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
26,26,8,0,0.9833333333333333,0.1,-5.29,3,-0.66125,0.375,-5.29,3,-0.66125,0.375
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
27,27,8,0,0.9826666666666667,0.1,-5.29,3,-0.66125,0.375,-5.29,3,-0.66125,0.375
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
27,27,9,0,0.982,0.1,-5.261,4,-0.5845555555555556,0.4444444444444444,-5.261,4,-0.584555555556,0.444444444444
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
28,28,9,0,0.982,0.1,-5.261,4,-0.5845555555555556,0.4444444444444444,-5.261,4,-0.584555555556,0.444444444444
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
29,29,9,0,0.9813333333333333,0.1,-5.261,4,-0.5845555555555556,0.4444444444444444,-5.261,4,-0.584555555556,0.444444444444
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
30,30,9,0,0.9806666666666667,0.1,-5.261,4,-0.5845555555555556,0.4444444444444444,-5.261,4,-0.584555555556,0.444444444444
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
30,30,10,0,0.98,0.1,-6.261,4,-0.6261,0.4,-6.261,4,-0.6261,0.4
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
31,31,10,0,0.98,0.1,-6.261,4,-0.6261,0.4,-6.261,4,-0.6261,0.4
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
