update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
3,3,1,0,0.9933333333333333,0.49,1,0.49,1.0,0.49,1,0.49,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
4,4,1,0,0.99,0.49,1,0.49,1.0,0.49,1,0.49,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
5,5,1,0,0.9866666666666667,0.49,1,0.49,1.0,0.49,1,0.49,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
6,6,2,0,0.9833333333333333,0.98,2,0.49,1.0,0.98,2,0.49,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
7,7,2,0,0.98,0.98,2,0.49,1.0,0.98,2,0.49,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
8,8,2,0,0.9766666666666667,0.98,2,0.49,1.0,0.98,2,0.49,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
9,9,3,0,0.9733333333333334,1.470005,3,0.49000166666666667,1.0,1.470005,3,0.490001666667,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
10,10,3,0,0.97,1.470005,3,0.49000166666666667,1.0,1.470005,3,0.490001666667,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
11,11,3,0,0.9666666666666667,1.470005,3,0.49000166666666667,1.0,1.470005,3,0.490001666667,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
12,12,4,0,0.9633333333333334,0.960014995,3,0.24000374875,0.75,0.960014995,3,0.24000374875,0.75
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
13,13,4,0,0.96,0.960014995,3,0.24000374875,0.75,0.960014995,3,0.24000374875,0.75
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
14,14,4,0,0.9566666666666667,0.960014995,3,0.24000374875,0.75,0.960014995,3,0.24000374875,0.75
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
15,15,5,0,0.9533333333333334,1.450014995,4,0.29000299900000004,0.8,1.450014995,4,0.290002999,0.8
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
16,16,5,0,0.95,1.450014995,4,0.29000299900000004,0.8,1.450014995,4,0.290002999,0.8
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
17,17,5,0,0.9466666666666667,1.450014995,4,0.29000299900000004,0.8,1.450014995,4,0.290002999,0.8
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
