main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=450000, eps_start=1.0, frames=1500000, games=500, gamma=0.99, log_interval=10000, lr=1e-05, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 470000 | F 470000 | G 31333 | D 58 | EPS 0.001 | L 14162.259 | R 157.000 | Avg L 0.030 | Avg R 0.157
U 480000 | F 480000 | G 32000 | D 59 | EPS 0.001 | L 14275.973 | R 174.000 | Avg L 0.030 | Avg R 0.174
U 490000 | F 490000 | G 32666 | D 60 | EPS 0.001 | L 14389.614 | R 166.000 | Avg L 0.029 | Avg R 0.166
U 500000 | F 500000 | G 33333 | D 62 | EPS 0.001 | L 14477.278 | R 146.000 | Avg L 0.029 | Avg R 0.146
U 510000 | F 510000 | G 34000 | D 63 | EPS 0.001 | L 14579.960 | R 136.000 | Avg L 0.029 | Avg R 0.136
U 520000 | F 520000 | G 34666 | D 64 | EPS 0.001 | L 14664.618 | R 138.000 | Avg L 0.028 | Avg R 0.138
U 530000 | F 530000 | G 35333 | D 66 | EPS 0.001 | L 14777.211 | R 153.000 | Avg L 0.028 | Avg R 0.153
U 540000 | F 540000 | G 36000 | D 67 | EPS 0.001 | L 14880.888 | R 161.000 | Avg L 0.028 | Avg R 0.161
U 550000 | F 550000 | G 36666 | D 68 | EPS 0.001 | L 14977.529 | R 146.000 | Avg L 0.027 | Avg R 0.146
U 560000 | F 560000 | G 37333 | D 70 | EPS 0.001 | L 15071.208 | R 137.000 | Avg L 0.027 | Avg R 0.137
U 570000 | F 570000 | G 38000 | D 71 | EPS 0.001 | L 15173.893 | R 150.000 | Avg L 0.027 | Avg R 0.150
U 580000 | F 580000 | G 38666 | D 72 | EPS 0.001 | L 15272.477 | R 152.000 | Avg L 0.026 | Avg R 0.152
U 590000 | F 590000 | G 39333 | D 74 | EPS 0.001 | L 15364.112 | R 139.000 | Avg L 0.026 | Avg R 0.139
U 600000 | F 600000 | G 40000 | D 75 | EPS 0.001 | L 15458.766 | R 136.000 | Avg L 0.026 | Avg R 0.136
U 610000 | F 610000 | G 40666 | D 76 | EPS 0.001 | L 15577.430 | R 174.000 | Avg L 0.026 | Avg R 0.174
