main.py --seed 7 --gamma 0.90

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.0001, eps_frames=450000, eps_start=1.0, frames=1500000, games=500, gamma=0.9, log_interval=10000, lr=0.0001, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 10000 | F 10000 | G 666 | D 1 | EPS 0.978 | L 335.860 | R 336.000 | Avg L 0.034 | Avg R 0.505
U 300000 | F 300000 | G 20000 | D 38 | EPS 0.333 | L 10009.074 | R 520.000 | Avg L 0.033 | Avg R 0.520
U 310000 | F 310000 | G 20666 | D 40 | EPS 0.311 | L 10320.753 | R 494.000 | Avg L 0.033 | Avg R 0.494
U 320000 | F 320000 | G 21333 | D 41 | EPS 0.289 | L 10641.345 | R 495.000 | Avg L 0.033 | Avg R 0.495
U 330000 | F 330000 | G 22000 | D 42 | EPS 0.267 | L 10945.553 | R 478.000 | Avg L 0.033 | Avg R 0.478
U 340000 | F 340000 | G 22666 | D 44 | EPS 0.244 | L 11252.491 | R 481.000 | Avg L 0.033 | Avg R 0.481
U 350000 | F 350000 | G 23333 | D 45 | EPS 0.222 | L 11557.628 | R 475.000 | Avg L 0.033 | Avg R 0.475
U 360000 | F 360000 | G 24000 | D 46 | EPS 0.200 | L 11867.210 | R 484.000 | Avg L 0.033 | Avg R 0.484
U 370000 | F 370000 | G 24666 | D 48 | EPS 0.178 | L 12161.620 | R 462.000 | Avg L 0.033 | Avg R 0.462
U 380000 | F 380000 | G 25333 | D 49 | EPS 0.156 | L 12445.806 | R 454.000 | Avg L 0.033 | Avg R 0.454
U 390000 | F 390000 | G 26000 | D 50 | EPS 0.133 | L 12708.604 | R 419.000 | Avg L 0.033 | Avg R 0.419
U 400000 | F 400000 | G 26666 | D 52 | EPS 0.111 | L 12953.536 | R 394.000 | Avg L 0.032 | Avg R 0.394
U 410000 | F 410000 | G 27333 | D 53 | EPS 0.089 | L 13199.821 | R 378.000 | Avg L 0.032 | Avg R 0.378
U 420000 | F 420000 | G 28000 | D 54 | EPS 0.067 | L 13419.075 | R 365.000 | Avg L 0.032 | Avg R 0.365
U 430000 | F 430000 | G 28666 | D 56 | EPS 0.044 | L 13805.694 | R 507.000 | Avg L 0.032 | Avg R 0.507
U 440000 | F 440000 | G 29333 | D 57 | EPS 0.022 | L 14211.647 | R 628.000 | Avg L 0.032 | Avg R 0.628
U 450000 | F 450000 | G 30000 | D 58 | EPS 0.000 | L 14668.797 | R 685.000 | Avg L 0.033 | Avg R 0.685
U 460000 | F 460000 | G 30666 | D 60 | EPS 0.000 | L 15114.111 | R 699.000 | Avg L 0.033 | Avg R 0.699
U 470000 | F 470000 | G 31333 | D 61 | EPS 0.000 | L 15521.035 | R 658.000 | Avg L 0.033 | Avg R 0.658
U 480000 | F 480000 | G 32000 | D 63 | EPS 0.000 | L 15945.008 | R 655.000 | Avg L 0.033 | Avg R 0.655
U 490000 | F 490000 | G 32666 | D 64 | EPS 0.000 | L 16368.253 | R 682.000 | Avg L 0.033 | Avg R 0.682
U 500000 | F 500000 | G 33333 | D 66 | EPS 0.000 | L 16827.642 | R 716.000 | Avg L 0.034 | Avg R 0.716
U 510000 | F 510000 | G 34000 | D 67 | EPS 0.000 | L 17276.621 | R 717.000 | Avg L 0.034 | Avg R 0.717
U 520000 | F 520000 | G 34666 | D 69 | EPS 0.000 | L 17719.867 | R 717.000 | Avg L 0.034 | Avg R 0.717
U 530000 | F 530000 | G 35333 | D 70 | EPS 0.000 | L 18158.435 | R 704.000 | Avg L 0.034 | Avg R 0.704
U 540000 | F 540000 | G 36000 | D 71 | EPS 0.000 | L 18575.362 | R 692.000 | Avg L 0.034 | Avg R 0.692
U 550000 | F 550000 | G 36666 | D 73 | EPS 0.000 | L 19023.675 | R 724.000 | Avg L 0.035 | Avg R 0.724
U 560000 | F 560000 | G 37333 | D 74 | EPS 0.000 | L 19458.147 | R 712.000 | Avg L 0.035 | Avg R 0.712
U 570000 | F 570000 | G 38000 | D 76 | EPS 0.000 | L 19886.659 | R 713.000 | Avg L 0.035 | Avg R 0.713
U 580000 | F 580000 | G 38666 | D 77 | EPS 0.000 | L 20314.213 | R 710.000 | Avg L 0.035 | Avg R 0.710
U 590000 | F 590000 | G 39333 | D 78 | EPS 0.000 | L 20735.030 | R 714.000 | Avg L 0.035 | Avg R 0.714
U 600000 | F 600000 | G 40000 | D 80 | EPS 0.000 | L 21139.071 | R 678.000 | Avg L 0.035 | Avg R 0.678
U 610000 | F 610000 | G 40666 | D 81 | EPS 0.000 | L 21568.445 | R 723.000 | Avg L 0.035 | Avg R 0.723
U 620000 | F 620000 | G 41333 | D 83 | EPS 0.000 | L 21998.768 | R 732.000 | Avg L 0.035 | Avg R 0.732
U 630000 | F 630000 | G 42000 | D 84 | EPS 0.000 | L 22410.523 | R 702.000 | Avg L 0.036 | Avg R 0.702
U 640000 | F 640000 | G 42666 | D 85 | EPS 0.000 | L 22822.472 | R 705.000 | Avg L 0.036 | Avg R 0.705
U 650000 | F 650000 | G 43333 | D 87 | EPS 0.000 | L 23238.867 | R 721.000 | Avg L 0.036 | Avg R 0.721
U 660000 | F 660000 | G 44000 | D 88 | EPS 0.000 | L 23656.152 | R 723.000 | Avg L 0.036 | Avg R 0.723
U 670000 | F 670000 | G 44666 | D 91 | EPS 0.000 | L 24052.002 | R 702.000 | Avg L 0.036 | Avg R 0.702
U 680000 | F 680000 | G 45333 | D 93 | EPS 0.000 | L 24430.134 | R 671.000 | Avg L 0.036 | Avg R 0.671
U 690000 | F 690000 | G 46000 | D 95 | EPS 0.000 | L 24833.934 | R 692.000 | Avg L 0.036 | Avg R 0.692
U 700000 | F 700000 | G 46666 | D 96 | EPS 0.000 | L 25214.528 | R 691.000 | Avg L 0.036 | Avg R 0.691
U 710000 | F 710000 | G 47333 | D 98 | EPS 0.000 | L 25612.647 | R 702.000 | Avg L 0.036 | Avg R 0.702
U 720000 | F 720000 | G 48000 | D 99 | EPS 0.000 | L 26004.005 | R 701.000 | Avg L 0.036 | Avg R 0.701
U 730000 | F 730000 | G 48666 | D 101 | EPS 0.000 | L 26405.679 | R 711.000 | Avg L 0.036 | Avg R 0.711
U 740000 | F 740000 | G 49333 | D 102 | EPS 0.000 | L 26806.082 | R 721.000 | Avg L 0.036 | Avg R 0.721
U 750000 | F 750000 | G 50000 | D 104 | EPS 0.000 | L 27192.781 | R 706.000 | Avg L 0.036 | Avg R 0.706
U 760000 | F 760000 | G 50666 | D 105 | EPS 0.000 | L 27573.078 | R 715.000 | Avg L 0.036 | Avg R 0.715
U 770000 | F 770000 | G 51333 | D 107 | EPS 0.000 | L 27982.059 | R 729.000 | Avg L 0.036 | Avg R 0.729
U 780000 | F 780000 | G 52000 | D 108 | EPS 0.000 | L 28373.812 | R 719.000 | Avg L 0.036 | Avg R 0.719
U 790000 | F 790000 | G 52666 | D 110 | EPS 0.000 | L 28759.582 | R 699.000 | Avg L 0.036 | Avg R 0.699
U 800000 | F 800000 | G 53333 | D 112 | EPS 0.000 | L 29138.439 | R 704.000 | Avg L 0.036 | Avg R 0.704
U 810000 | F 810000 | G 54000 | D 113 | EPS 0.000 | L 29529.328 | R 723.000 | Avg L 0.036 | Avg R 0.723
U 820000 | F 820000 | G 54666 | D 115 | EPS 0.000 | L 29884.048 | R 689.000 | Avg L 0.036 | Avg R 0.689
U 830000 | F 830000 | G 55333 | D 116 | EPS 0.000 | L 30273.609 | R 698.000 | Avg L 0.036 | Avg R 0.698
U 840000 | F 840000 | G 56000 | D 118 | EPS 0.000 | L 30644.608 | R 704.000 | Avg L 0.036 | Avg R 0.704
U 850000 | F 850000 | G 56666 | D 119 | EPS 0.000 | L 31006.088 | R 694.000 | Avg L 0.036 | Avg R 0.694
U 860000 | F 860000 | G 57333 | D 121 | EPS 0.000 | L 31385.859 | R 712.000 | Avg L 0.036 | Avg R 0.712
U 870000 | F 870000 | G 58000 | D 124 | EPS 0.000 | L 31746.431 | R 715.000 | Avg L 0.036 | Avg R 0.715
U 880000 | F 880000 | G 58666 | D 126 | EPS 0.000 | L 32101.005 | R 687.000 | Avg L 0.036 | Avg R 0.687
U 890000 | F 890000 | G 59333 | D 127 | EPS 0.000 | L 32469.563 | R 715.000 | Avg L 0.036 | Avg R 0.715
U 900000 | F 900000 | G 60000 | D 129 | EPS 0.000 | L 32827.870 | R 707.000 | Avg L 0.036 | Avg R 0.707
U 910000 | F 910000 | G 60666 | D 131 | EPS 0.000 | L 33177.149 | R 694.000 | Avg L 0.036 | Avg R 0.694
U 920000 | F 920000 | G 61333 | D 132 | EPS 0.000 | L 33540.082 | R 704.000 | Avg L 0.036 | Avg R 0.704
U 930000 | F 930000 | G 62000 | D 134 | EPS 0.000 | L 33895.770 | R 715.000 | Avg L 0.036 | Avg R 0.715
U 940000 | F 940000 | G 62666 | D 137 | EPS 0.000 | L 34251.836 | R 706.000 | Avg L 0.036 | Avg R 0.706
U 950000 | F 950000 | G 63333 | D 142 | EPS 0.000 | L 34605.958 | R 702.000 | Avg L 0.036 | Avg R 0.702
U 960000 | F 960000 | G 64000 | D 145 | EPS 0.000 | L 34952.989 | R 703.000 | Avg L 0.036 | Avg R 0.703
U 970000 | F 970000 | G 64666 | D 147 | EPS 0.000 | L 35299.985 | R 712.000 | Avg L 0.036 | Avg R 0.712
U 980000 | F 980000 | G 65333 | D 148 | EPS 0.000 | L 35653.713 | R 707.000 | Avg L 0.036 | Avg R 0.707
U 990000 | F 990000 | G 66000 | D 150 | EPS 0.000 | L 36004.427 | R 702.000 | Avg L 0.036 | Avg R 0.702
U 1000000 | F 1000000 | G 66666 | D 152 | EPS 0.000 | L 36346.801 | R 701.000 | Avg L 0.036 | Avg R 0.701
U 1010000 | F 1010000 | G 67333 | D 153 | EPS 0.000 | L 36684.062 | R 709.000 | Avg L 0.036 | Avg R 0.709
U 1020000 | F 1020000 | G 68000 | D 155 | EPS 0.000 | L 37057.462 | R 728.000 | Avg L 0.036 | Avg R 0.728
U 1030000 | F 1030000 | G 68666 | D 156 | EPS 0.000 | L 37405.110 | R 738.000 | Avg L 0.036 | Avg R 0.738
U 1040000 | F 1040000 | G 69333 | D 158 | EPS 0.000 | L 37749.352 | R 720.000 | Avg L 0.036 | Avg R 0.720
U 1050000 | F 1050000 | G 70000 | D 159 | EPS 0.000 | L 38092.476 | R 714.000 | Avg L 0.036 | Avg R 0.714
U 1060000 | F 1060000 | G 70666 | D 161 | EPS 0.000 | L 38427.558 | R 717.000 | Avg L 0.036 | Avg R 0.717
U 1070000 | F 1070000 | G 71333 | D 162 | EPS 0.000 | L 38759.310 | R 701.000 | Avg L 0.036 | Avg R 0.701
U 1080000 | F 1080000 | G 72000 | D 164 | EPS 0.000 | L 39092.094 | R 711.000 | Avg L 0.036 | Avg R 0.711
U 1090000 | F 1090000 | G 72666 | D 166 | EPS 0.000 | L 39400.839 | R 687.000 | Avg L 0.036 | Avg R 0.687
U 1100000 | F 1100000 | G 73333 | D 167 | EPS 0.000 | L 39727.719 | R 695.000 | Avg L 0.036 | Avg R 0.695
U 1110000 | F 1110000 | G 74000 | D 169 | EPS 0.000 | L 40053.380 | R 723.000 | Avg L 0.036 | Avg R 0.723
U 1120000 | F 1120000 | G 74666 | D 170 | EPS 0.000 | L 40382.202 | R 708.000 | Avg L 0.036 | Avg R 0.708
U 1130000 | F 1130000 | G 75333 | D 172 | EPS 0.000 | L 40734.856 | R 735.000 | Avg L 0.036 | Avg R 0.735
U 1140000 | F 1140000 | G 76000 | D 173 | EPS 0.000 | L 41056.662 | R 718.000 | Avg L 0.036 | Avg R 0.718
U 1150000 | F 1150000 | G 76666 | D 175 | EPS 0.000 | L 41362.466 | R 682.000 | Avg L 0.036 | Avg R 0.682
U 1160000 | F 1160000 | G 77333 | D 177 | EPS 0.000 | L 41691.231 | R 711.000 | Avg L 0.036 | Avg R 0.711
U 1170000 | F 1170000 | G 78000 | D 178 | EPS 0.000 | L 42012.561 | R 709.000 | Avg L 0.036 | Avg R 0.709
U 1180000 | F 1180000 | G 78666 | D 180 | EPS 0.000 | L 42319.566 | R 707.000 | Avg L 0.036 | Avg R 0.707
U 1190000 | F 1190000 | G 79333 | D 181 | EPS 0.000 | L 42637.446 | R 699.000 | Avg L 0.036 | Avg R 0.699
U 1200000 | F 1200000 | G 80000 | D 183 | EPS 0.000 | L 42950.100 | R 724.000 | Avg L 0.036 | Avg R 0.724
U 1210000 | F 1210000 | G 80666 | D 185 | EPS 0.000 | L 43249.580 | R 706.000 | Avg L 0.036 | Avg R 0.706
U 1220000 | F 1220000 | G 81333 | D 186 | EPS 0.000 | L 43551.708 | R 710.000 | Avg L 0.036 | Avg R 0.710
U 1230000 | F 1230000 | G 82000 | D 188 | EPS 0.000 | L 43870.882 | R 710.000 | Avg L 0.036 | Avg R 0.710
U 1240000 | F 1240000 | G 82666 | D 189 | EPS 0.000 | L 44178.374 | R 712.000 | Avg L 0.036 | Avg R 0.712
U 1250000 | F 1250000 | G 83333 | D 191 | EPS 0.000 | L 44469.860 | R 702.000 | Avg L 0.036 | Avg R 0.702
U 1260000 | F 1260000 | G 84000 | D 193 | EPS 0.000 | L 44768.616 | R 691.000 | Avg L 0.036 | Avg R 0.691
U 1270000 | F 1270000 | G 84666 | D 194 | EPS 0.000 | L 45065.296 | R 709.000 | Avg L 0.035 | Avg R 0.709
U 1280000 | F 1280000 | G 85333 | D 196 | EPS 0.000 | L 45366.527 | R 706.000 | Avg L 0.035 | Avg R 0.706
U 1290000 | F 1290000 | G 86000 | D 197 | EPS 0.000 | L 45679.526 | R 730.000 | Avg L 0.035 | Avg R 0.730
U 1300000 | F 1300000 | G 86666 | D 199 | EPS 0.000 | L 45966.099 | R 701.000 | Avg L 0.035 | Avg R 0.701
U 1310000 | F 1310000 | G 87333 | D 201 | EPS 0.000 | L 46260.048 | R 679.000 | Avg L 0.035 | Avg R 0.679
U 1320000 | F 1320000 | G 88000 | D 202 | EPS 0.000 | L 46516.026 | R 673.000 | Avg L 0.035 | Avg R 0.673
U 1330000 | F 1330000 | G 88666 | D 204 | EPS 0.000 | L 46793.074 | R 689.000 | Avg L 0.035 | Avg R 0.689
U 1340000 | F 1340000 | G 89333 | D 205 | EPS 0.000 | L 47055.646 | R 677.000 | Avg L 0.035 | Avg R 0.677
U 1350000 | F 1350000 | G 90000 | D 207 | EPS 0.000 | L 47374.599 | R 712.000 | Avg L 0.035 | Avg R 0.712
U 1360000 | F 1360000 | G 90666 | D 209 | EPS 0.000 | L 47649.963 | R 720.000 | Avg L 0.035 | Avg R 0.720
U 1370000 | F 1370000 | G 91333 | D 210 | EPS 0.000 | L 47931.166 | R 701.000 | Avg L 0.035 | Avg R 0.701
U 1380000 | F 1380000 | G 92000 | D 212 | EPS 0.000 | L 48210.516 | R 691.000 | Avg L 0.035 | Avg R 0.691
U 1390000 | F 1390000 | G 92666 | D 214 | EPS 0.000 | L 48491.212 | R 692.000 | Avg L 0.035 | Avg R 0.692
U 1400000 | F 1400000 | G 93333 | D 215 | EPS 0.000 | L 48772.604 | R 697.000 | Avg L 0.035 | Avg R 0.697
U 1410000 | F 1410000 | G 94000 | D 217 | EPS 0.000 | L 49058.681 | R 707.000 | Avg L 0.035 | Avg R 0.707
U 1420000 | F 1420000 | G 94666 | D 219 | EPS 0.000 | L 49330.391 | R 701.000 | Avg L 0.035 | Avg R 0.701
U 1430000 | F 1430000 | G 95333 | D 220 | EPS 0.000 | L 49614.429 | R 714.000 | Avg L 0.035 | Avg R 0.714
U 1440000 | F 1440000 | G 96000 | D 222 | EPS 0.000 | L 49898.700 | R 728.000 | Avg L 0.035 | Avg R 0.728
U 1450000 | F 1450000 | G 96666 | D 224 | EPS 0.000 | L 50174.084 | R 697.000 | Avg L 0.035 | Avg R 0.697
U 1460000 | F 1460000 | G 97333 | D 225 | EPS 0.000 | L 50443.653 | R 699.000 | Avg L 0.035 | Avg R 0.699
U 1470000 | F 1470000 | G 98000 | D 227 | EPS 0.000 | L 50710.398 | R 708.000 | Avg L 0.034 | Avg R 0.708
U 1480000 | F 1480000 | G 98666 | D 229 | EPS 0.000 | L 50967.381 | R 688.000 | Avg L 0.034 | Avg R 0.688
U 1490000 | F 1490000 | G 99333 | D 230 | EPS 0.000 | L 51227.085 | R 691.000 | Avg L 0.034 | Avg R 0.691
U 1500000 | F 1500000 | G 100000 | D 232 | EPS 0.000 | L 51504.540 | R 705.000 | Avg L 0.034 | Avg R 0.705
