update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
20000,20000,6666,2,0.7333466666666666,426.3748757601994,428,0.4263748757601994,0.428,426.37487576,428,0.42637487576,0.428
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
40000,40000,13333,4,0.46668,365.8805789404454,364,0.3658805789404454,0.364,365.88057894,364,0.36588057894,0.364
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
60000,60000,20000,7,0.20001333333333338,371.62116815776744,378,0.37162116815776747,0.378,371.621168158,378,0.371621168158,0.378
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
80000,80000,26666,9,0.001,355.2935722867803,365,0.3552935722867803,0.365,355.293572287,365,0.355293572287,0.365
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
100000,100000,33333,12,0.001,336.65291940420144,349,0.33665291940420145,0.349,336.652919404,349,0.336652919404,0.349
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
120000,120000,40000,15,0.001,335.92484135479816,353,0.33592484135479816,0.353,335.924841355,353,0.335924841355,0.353
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
140000,140000,46666,17,0.001,359.1279610522494,381,0.3591279610522494,0.381,359.127961052,381,0.359127961052,0.381
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
160000,160000,53333,20,0.001,320.4628768140399,344,0.3204628768140399,0.344,320.462876814,344,0.320462876814,0.344
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
180000,180000,60000,22,0.001,340.9149719810016,370,0.3409149719810016,0.37,340.914971981,370,0.340914971981,0.37
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
200000,200000,66666,25,0.001,391.6476678952182,426,0.3916476678952182,0.426,391.647667895,426,0.391647667895,0.426
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
220000,220000,73333,27,0.001,355.60521568645174,392,0.35560521568645176,0.392,355.605215686,392,0.355605215686,0.392
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
240000,240000,80000,30,0.001,344.6048873546326,386,0.34460488735463257,0.386,344.604887355,386,0.344604887355,0.386
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
260000,260000,86666,32,0.001,309.15684444208813,354,0.30915684444208813,0.354,309.156844442,354,0.309156844442,0.354
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
280000,280000,93333,34,0.001,319.18389859900367,366,0.31918389859900365,0.366,319.183898599,366,0.319183898599,0.366
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
300000,300000,100000,37,0.001,361.14309282150987,415,0.36114309282150986,0.415,361.143092822,415,0.361143092822,0.415
