main.py --seed 7 --lr 0.01

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.01, eps_frames=75000, eps_start=1.0, frames=3000000, games=500, gamma=0.99, log_interval=20000, lr=0.01, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 20000 | F 20000 | G 6666 | D 2 | EPS 0.733 | L 188.686 | R 526.000 | Avg L 0.189 | Avg R 0.526
U 40000 | F 40000 | G 13333 | D 4 | EPS 0.467 | L 18.375 | R 476.000 | Avg L 0.018 | Avg R 0.476
U 60000 | F 60000 | G 20000 | D 7 | EPS 0.200 | L -19.628 | R 448.000 | Avg L -0.020 | Avg R 0.448
U 80000 | F 80000 | G 26666 | D 9 | EPS 0.010 | L -7.369 | R 491.000 | Avg L -0.007 | Avg R 0.491
U 100000 | F 100000 | G 33333 | D 11 | EPS 0.010 | L 0.203 | R 495.000 | Avg L 0.000 | Avg R 0.495
U 120000 | F 120000 | G 40000 | D 13 | EPS 0.010 | L 5.969 | R 503.000 | Avg L 0.006 | Avg R 0.503
U 140000 | F 140000 | G 46666 | D 16 | EPS 0.010 | L -12.834 | R 495.000 | Avg L -0.013 | Avg R 0.495
U 160000 | F 160000 | G 53333 | D 18 | EPS 0.010 | L 6.230 | R 508.000 | Avg L 0.006 | Avg R 0.508
U 180000 | F 180000 | G 60000 | D 20 | EPS 0.010 | L -2.531 | R 482.000 | Avg L -0.003 | Avg R 0.482
U 200000 | F 200000 | G 66666 | D 23 | EPS 0.010 | L 28.762 | R 515.000 | Avg L 0.029 | Avg R 0.515
U 220000 | F 220000 | G 73333 | D 25 | EPS 0.010 | L -4.633 | R 492.000 | Avg L -0.005 | Avg R 0.492
U 240000 | F 240000 | G 80000 | D 27 | EPS 0.010 | L 16.760 | R 512.000 | Avg L 0.017 | Avg R 0.512
U 260000 | F 260000 | G 86666 | D 30 | EPS 0.010 | L -9.141 | R 474.000 | Avg L -0.009 | Avg R 0.474
U 280000 | F 280000 | G 93333 | D 32 | EPS 0.010 | L -9.699 | R 479.000 | Avg L -0.010 | Avg R 0.479
U 300000 | F 300000 | G 100000 | D 34 | EPS 0.010 | L 24.459 | R 505.000 | Avg L 0.024 | Avg R 0.505
U 320000 | F 320000 | G 106666 | D 37 | EPS 0.010 | L 12.263 | R 505.000 | Avg L 0.012 | Avg R 0.505
U 340000 | F 340000 | G 113333 | D 39 | EPS 0.010 | L -0.824 | R 488.000 | Avg L -0.001 | Avg R 0.488
U 360000 | F 360000 | G 120000 | D 41 | EPS 0.010 | L -5.883 | R 474.000 | Avg L -0.006 | Avg R 0.474
U 380000 | F 380000 | G 126666 | D 43 | EPS 0.010 | L 8.902 | R 504.000 | Avg L 0.009 | Avg R 0.504
U 400000 | F 400000 | G 133333 | D 46 | EPS 0.010 | L -7.872 | R 493.000 | Avg L -0.008 | Avg R 0.493
U 420000 | F 420000 | G 140000 | D 48 | EPS 0.010 | L 2.060 | R 499.000 | Avg L 0.002 | Avg R 0.499
U 440000 | F 440000 | G 146666 | D 50 | EPS 0.010 | L 3.736 | R 496.000 | Avg L 0.004 | Avg R 0.496
U 460000 | F 460000 | G 153333 | D 53 | EPS 0.010 | L 14.817 | R 529.000 | Avg L 0.015 | Avg R 0.529
U 480000 | F 480000 | G 160000 | D 55 | EPS 0.010 | L 3.664 | R 518.000 | Avg L 0.004 | Avg R 0.518
U 500000 | F 500000 | G 166666 | D 57 | EPS 0.010 | L 2.757 | R 477.000 | Avg L 0.003 | Avg R 0.477
U 520000 | F 520000 | G 173333 | D 59 | EPS 0.010 | L 13.534 | R 529.000 | Avg L 0.014 | Avg R 0.529
U 540000 | F 540000 | G 180000 | D 62 | EPS 0.010 | L 20.039 | R 497.000 | Avg L 0.020 | Avg R 0.497
U 560000 | F 560000 | G 186666 | D 64 | EPS 0.010 | L 5.373 | R 517.000 | Avg L 0.005 | Avg R 0.517
U 580000 | F 580000 | G 193333 | D 66 | EPS 0.010 | L -2.492 | R 511.000 | Avg L -0.002 | Avg R 0.511
U 600000 | F 600000 | G 200000 | D 69 | EPS 0.010 | L -3.580 | R 493.000 | Avg L -0.004 | Avg R 0.493
U 620000 | F 620000 | G 206666 | D 71 | EPS 0.010 | L 3.307 | R 495.000 | Avg L 0.003 | Avg R 0.495
U 640000 | F 640000 | G 213333 | D 73 | EPS 0.010 | L -10.608 | R 504.000 | Avg L -0.011 | Avg R 0.504
