main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.01, eps_frames=1200, eps_start=1.0, frames=6000, games=500, gamma=0.99, log_interval=1, lr=1e-05, model=None, save_interval=1, seed=7)

Environments loaded

Training status loaded

U 3 | F 3 | G 1 | D 0 | EPS 0.998 | L 0.485 | R 1.000 | Avg L 0.485 | Avg R 1.000
U 4 | F 4 | G 1 | D 0 | EPS 0.998 | L 0.485 | R 1.000 | Avg L 0.485 | Avg R 1.000
U 5 | F 5 | G 1 | D 0 | EPS 0.997 | L 0.485 | R 1.000 | Avg L 0.485 | Avg R 1.000
U 6 | F 6 | G 1 | D 0 | EPS 0.996 | L 0.485 | R 1.000 | Avg L 0.485 | Avg R 1.000
U 6 | F 6 | G 2 | D 0 | EPS 0.995 | L -0.030 | R 1.000 | Avg L -0.015 | Avg R 0.500
U 7 | F 7 | G 2 | D 0 | EPS 0.995 | L -0.030 | R 1.000 | Avg L -0.015 | Avg R 0.500
U 8 | F 8 | G 2 | D 0 | EPS 0.994 | L -0.030 | R 1.000 | Avg L -0.015 | Avg R 0.500
U 9 | F 9 | G 2 | D 0 | EPS 0.993 | L -0.030 | R 1.000 | Avg L -0.015 | Avg R 0.500
U 9 | F 9 | G 3 | D 0 | EPS 0.993 | L -0.545 | R 1.000 | Avg L -0.182 | Avg R 0.333
U 10 | F 10 | G 3 | D 0 | EPS 0.993 | L -0.545 | R 1.000 | Avg L -0.182 | Avg R 0.333
U 11 | F 11 | G 3 | D 0 | EPS 0.992 | L -0.545 | R 1.000 | Avg L -0.182 | Avg R 0.333
U 12 | F 12 | G 3 | D 0 | EPS 0.991 | L -0.545 | R 1.000 | Avg L -0.182 | Avg R 0.333
U 12 | F 12 | G 4 | D 0 | EPS 0.990 | L -0.060 | R 2.000 | Avg L -0.015 | Avg R 0.500
U 13 | F 13 | G 4 | D 0 | EPS 0.990 | L -0.060 | R 2.000 | Avg L -0.015 | Avg R 0.500
U 14 | F 14 | G 4 | D 0 | EPS 0.989 | L -0.060 | R 2.000 | Avg L -0.015 | Avg R 0.500
U 15 | F 15 | G 4 | D 0 | EPS 0.988 | L -0.060 | R 2.000 | Avg L -0.015 | Avg R 0.500
U 15 | F 15 | G 5 | D 0 | EPS 0.988 | L -0.575 | R 2.000 | Avg L -0.115 | Avg R 0.400
U 16 | F 16 | G 5 | D 0 | EPS 0.988 | L -0.575 | R 2.000 | Avg L -0.115 | Avg R 0.400
U 17 | F 17 | G 5 | D 0 | EPS 0.987 | L -0.575 | R 2.000 | Avg L -0.115 | Avg R 0.400
U 18 | F 18 | G 5 | D 0 | EPS 0.986 | L -0.575 | R 2.000 | Avg L -0.115 | Avg R 0.400
U 18 | F 18 | G 6 | D 0 | EPS 0.985 | L -0.090 | R 3.000 | Avg L -0.015 | Avg R 0.500
U 19 | F 19 | G 6 | D 0 | EPS 0.985 | L -0.090 | R 3.000 | Avg L -0.015 | Avg R 0.500
U 20 | F 20 | G 6 | D 0 | EPS 0.984 | L -0.090 | R 3.000 | Avg L -0.015 | Avg R 0.500
U 21 | F 21 | G 6 | D 0 | EPS 0.983 | L -0.090 | R 3.000 | Avg L -0.015 | Avg R 0.500
U 21 | F 21 | G 7 | D 0 | EPS 0.983 | L -0.605 | R 3.000 | Avg L -0.086 | Avg R 0.429
U 22 | F 22 | G 7 | D 0 | EPS 0.983 | L -0.605 | R 3.000 | Avg L -0.086 | Avg R 0.429
U 23 | F 23 | G 7 | D 0 | EPS 0.982 | L -0.605 | R 3.000 | Avg L -0.086 | Avg R 0.429
U 24 | F 24 | G 7 | D 0 | EPS 0.981 | L -0.605 | R 3.000 | Avg L -0.086 | Avg R 0.429
U 24 | F 24 | G 8 | D 0 | EPS 0.980 | L -1.120 | R 3.000 | Avg L -0.140 | Avg R 0.375
U 25 | F 25 | G 8 | D 0 | EPS 0.980 | L -1.120 | R 3.000 | Avg L -0.140 | Avg R 0.375
U 26 | F 26 | G 8 | D 0 | EPS 0.979 | L -1.120 | R 3.000 | Avg L -0.140 | Avg R 0.375
U 27 | F 27 | G 8 | D 0 | EPS 0.978 | L -1.120 | R 3.000 | Avg L -0.140 | Avg R 0.375
U 27 | F 27 | G 9 | D 0 | EPS 0.978 | L -0.635 | R 4.000 | Avg L -0.071 | Avg R 0.444
U 28 | F 28 | G 9 | D 0 | EPS 0.978 | L -0.635 | R 4.000 | Avg L -0.071 | Avg R 0.444
U 29 | F 29 | G 9 | D 0 | EPS 0.977 | L -0.635 | R 4.000 | Avg L -0.071 | Avg R 0.444
U 30 | F 30 | G 9 | D 0 | EPS 0.976 | L -0.635 | R 4.000 | Avg L -0.071 | Avg R 0.444
U 30 | F 30 | G 10 | D 0 | EPS 0.975 | L -1.150 | R 4.000 | Avg L -0.115 | Avg R 0.400
U 31 | F 31 | G 10 | D 0 | EPS 0.975 | L -1.150 | R 4.000 | Avg L -0.115 | Avg R 0.400
U 32 | F 32 | G 10 | D 0 | EPS 0.974 | L -1.150 | R 4.000 | Avg L -0.115 | Avg R 0.400
