main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.01, eps_frames=450000, eps_start=1.0, frames=1500000, games=500, log_interval=10000, lr=0.0001, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 10000 | F 10000 | G 666 | D 1 | EPS 0.978 | L 335.978 | R 336.000 | Avg L 0.034 | Avg R 0.505
U 310000 | F 310000 | G 20666 | D 38 | EPS 0.311 | L 10473.669 | R 502.000 | Avg L 0.034 | Avg R 0.502
U 320000 | F 320000 | G 21333 | D 39 | EPS 0.289 | L 10813.424 | R 513.000 | Avg L 0.034 | Avg R 0.513
U 330000 | F 330000 | G 22000 | D 40 | EPS 0.267 | L 11141.227 | R 496.000 | Avg L 0.034 | Avg R 0.496
U 340000 | F 340000 | G 22666 | D 42 | EPS 0.244 | L 11469.264 | R 501.000 | Avg L 0.034 | Avg R 0.501
U 350000 | F 350000 | G 23333 | D 43 | EPS 0.222 | L 11790.439 | R 486.000 | Avg L 0.034 | Avg R 0.486
U 360000 | F 360000 | G 24000 | D 44 | EPS 0.200 | L 12111.112 | R 488.000 | Avg L 0.034 | Avg R 0.488
U 370000 | F 370000 | G 24666 | D 46 | EPS 0.178 | L 12417.941 | R 466.000 | Avg L 0.034 | Avg R 0.466
U 380000 | F 380000 | G 25333 | D 47 | EPS 0.156 | L 12726.121 | R 466.000 | Avg L 0.033 | Avg R 0.466
U 390000 | F 390000 | G 26000 | D 48 | EPS 0.133 | L 13003.763 | R 433.000 | Avg L 0.033 | Avg R 0.433
U 400000 | F 400000 | G 26666 | D 50 | EPS 0.111 | L 13320.077 | R 463.000 | Avg L 0.033 | Avg R 0.463
U 410000 | F 410000 | G 27333 | D 51 | EPS 0.089 | L 13701.338 | R 528.000 | Avg L 0.033 | Avg R 0.528
U 420000 | F 420000 | G 28000 | D 52 | EPS 0.067 | L 14114.271 | R 610.000 | Avg L 0.034 | Avg R 0.610
U 430000 | F 430000 | G 28666 | D 54 | EPS 0.044 | L 14554.641 | R 646.000 | Avg L 0.034 | Avg R 0.646
U 440000 | F 440000 | G 29333 | D 55 | EPS 0.022 | L 15006.057 | R 674.000 | Avg L 0.034 | Avg R 0.674
U 450000 | F 450000 | G 30000 | D 57 | EPS 0.010 | L 15493.355 | R 721.000 | Avg L 0.034 | Avg R 0.721
U 460000 | F 460000 | G 30666 | D 58 | EPS 0.010 | L 15965.491 | R 709.000 | Avg L 0.035 | Avg R 0.709
U 470000 | F 470000 | G 31333 | D 59 | EPS 0.010 | L 16456.164 | R 736.000 | Avg L 0.035 | Avg R 0.736
U 480000 | F 480000 | G 32000 | D 61 | EPS 0.010 | L 16935.860 | R 725.000 | Avg L 0.035 | Avg R 0.725
U 490000 | F 490000 | G 32666 | D 62 | EPS 0.010 | L 17425.659 | R 736.000 | Avg L 0.036 | Avg R 0.736
U 500000 | F 500000 | G 33333 | D 63 | EPS 0.010 | L 17921.416 | R 744.000 | Avg L 0.036 | Avg R 0.744
U 510000 | F 510000 | G 34000 | D 65 | EPS 0.010 | L 18403.063 | R 734.000 | Avg L 0.036 | Avg R 0.734
U 520000 | F 520000 | G 34666 | D 66 | EPS 0.010 | L 18861.602 | R 703.000 | Avg L 0.036 | Avg R 0.703
U 530000 | F 530000 | G 35333 | D 67 | EPS 0.010 | L 19340.717 | R 719.000 | Avg L 0.036 | Avg R 0.719
U 540000 | F 540000 | G 36000 | D 69 | EPS 0.010 | L 19819.277 | R 719.000 | Avg L 0.037 | Avg R 0.719
U 550000 | F 550000 | G 36666 | D 70 | EPS 0.010 | L 20299.658 | R 722.000 | Avg L 0.037 | Avg R 0.722
U 560000 | F 560000 | G 37333 | D 71 | EPS 0.010 | L 20769.894 | R 717.000 | Avg L 0.037 | Avg R 0.717
U 570000 | F 570000 | G 38000 | D 73 | EPS 0.010 | L 21279.129 | R 758.000 | Avg L 0.037 | Avg R 0.758
U 580000 | F 580000 | G 38666 | D 74 | EPS 0.010 | L 21771.603 | R 751.000 | Avg L 0.038 | Avg R 0.751
U 590000 | F 590000 | G 39333 | D 75 | EPS 0.010 | L 22233.100 | R 713.000 | Avg L 0.038 | Avg R 0.713
U 600000 | F 600000 | G 40000 | D 77 | EPS 0.010 | L 22706.574 | R 715.000 | Avg L 0.038 | Avg R 0.715
U 610000 | F 610000 | G 40666 | D 78 | EPS 0.010 | L 23193.695 | R 728.000 | Avg L 0.038 | Avg R 0.728
U 620000 | F 620000 | G 41333 | D 80 | EPS 0.010 | L 23684.631 | R 750.000 | Avg L 0.038 | Avg R 0.750
U 630000 | F 630000 | G 42000 | D 81 | EPS 0.010 | L 24166.939 | R 739.000 | Avg L 0.038 | Avg R 0.739
U 640000 | F 640000 | G 42666 | D 82 | EPS 0.010 | L 24638.201 | R 737.000 | Avg L 0.038 | Avg R 0.737
U 650000 | F 650000 | G 43333 | D 84 | EPS 0.010 | L 25124.855 | R 739.000 | Avg L 0.039 | Avg R 0.739
U 660000 | F 660000 | G 44000 | D 85 | EPS 0.010 | L 25610.731 | R 737.000 | Avg L 0.039 | Avg R 0.737
U 670000 | F 670000 | G 44666 | D 86 | EPS 0.010 | L 26088.401 | R 727.000 | Avg L 0.039 | Avg R 0.727
U 680000 | F 680000 | G 45333 | D 88 | EPS 0.010 | L 26564.419 | R 726.000 | Avg L 0.039 | Avg R 0.726
U 690000 | F 690000 | G 46000 | D 89 | EPS 0.010 | L 27032.674 | R 701.000 | Avg L 0.039 | Avg R 0.701
U 700000 | F 700000 | G 46666 | D 91 | EPS 0.010 | L 27523.845 | R 736.000 | Avg L 0.039 | Avg R 0.736
U 710000 | F 710000 | G 47333 | D 92 | EPS 0.010 | L 27995.127 | R 731.000 | Avg L 0.039 | Avg R 0.731
U 720000 | F 720000 | G 48000 | D 93 | EPS 0.010 | L 28448.390 | R 696.000 | Avg L 0.040 | Avg R 0.696
U 730000 | F 730000 | G 48666 | D 95 | EPS 0.010 | L 28934.280 | R 725.000 | Avg L 0.040 | Avg R 0.725
U 740000 | F 740000 | G 49333 | D 96 | EPS 0.010 | L 29396.623 | R 726.000 | Avg L 0.040 | Avg R 0.726
U 750000 | F 750000 | G 50000 | D 98 | EPS 0.010 | L 29884.635 | R 740.000 | Avg L 0.040 | Avg R 0.740
U 760000 | F 760000 | G 50666 | D 99 | EPS 0.010 | L 30365.725 | R 746.000 | Avg L 0.040 | Avg R 0.746
U 770000 | F 770000 | G 51333 | D 100 | EPS 0.010 | L 30835.300 | R 720.000 | Avg L 0.040 | Avg R 0.720
U 780000 | F 780000 | G 52000 | D 102 | EPS 0.010 | L 31312.407 | R 724.000 | Avg L 0.040 | Avg R 0.724
U 790000 | F 790000 | G 52666 | D 103 | EPS 0.010 | L 31772.529 | R 723.000 | Avg L 0.040 | Avg R 0.723
U 800000 | F 800000 | G 53333 | D 105 | EPS 0.010 | L 32255.950 | R 731.000 | Avg L 0.040 | Avg R 0.731
U 810000 | F 810000 | G 54000 | D 106 | EPS 0.010 | L 32749.719 | R 743.000 | Avg L 0.040 | Avg R 0.743
U 820000 | F 820000 | G 54666 | D 108 | EPS 0.010 | L 33214.689 | R 738.000 | Avg L 0.041 | Avg R 0.738
U 830000 | F 830000 | G 55333 | D 109 | EPS 0.010 | L 33700.341 | R 722.000 | Avg L 0.041 | Avg R 0.722
U 840000 | F 840000 | G 56000 | D 110 | EPS 0.010 | L 34193.447 | R 750.000 | Avg L 0.041 | Avg R 0.750
U 850000 | F 850000 | G 56666 | D 112 | EPS 0.010 | L 34660.222 | R 732.000 | Avg L 0.041 | Avg R 0.732
U 860000 | F 860000 | G 57333 | D 113 | EPS 0.010 | L 35123.756 | R 720.000 | Avg L 0.041 | Avg R 0.720
U 870000 | F 870000 | G 58000 | D 115 | EPS 0.010 | L 35602.942 | R 729.000 | Avg L 0.041 | Avg R 0.729
U 880000 | F 880000 | G 58666 | D 116 | EPS 0.010 | L 36084.490 | R 733.000 | Avg L 0.041 | Avg R 0.733
U 890000 | F 890000 | G 59333 | D 118 | EPS 0.010 | L 36586.776 | R 752.000 | Avg L 0.041 | Avg R 0.752
U 900000 | F 900000 | G 60000 | D 119 | EPS 0.010 | L 37072.174 | R 759.000 | Avg L 0.041 | Avg R 0.759
U 910000 | F 910000 | G 60666 | D 121 | EPS 0.010 | L 37549.068 | R 738.000 | Avg L 0.041 | Avg R 0.738
U 920000 | F 920000 | G 61333 | D 122 | EPS 0.010 | L 38010.905 | R 709.000 | Avg L 0.041 | Avg R 0.709
U 930000 | F 930000 | G 62000 | D 124 | EPS 0.010 | L 38498.338 | R 746.000 | Avg L 0.041 | Avg R 0.746
U 940000 | F 940000 | G 62666 | D 125 | EPS 0.010 | L 38949.515 | R 735.000 | Avg L 0.041 | Avg R 0.735
U 950000 | F 950000 | G 63333 | D 126 | EPS 0.010 | L 39429.583 | R 731.000 | Avg L 0.042 | Avg R 0.731
U 960000 | F 960000 | G 64000 | D 128 | EPS 0.010 | L 39900.513 | R 723.000 | Avg L 0.042 | Avg R 0.723
U 970000 | F 970000 | G 64666 | D 129 | EPS 0.010 | L 40374.668 | R 725.000 | Avg L 0.042 | Avg R 0.725
U 980000 | F 980000 | G 65333 | D 131 | EPS 0.010 | L 40863.444 | R 741.000 | Avg L 0.042 | Avg R 0.741
U 990000 | F 990000 | G 66000 | D 132 | EPS 0.010 | L 41329.437 | R 722.000 | Avg L 0.042 | Avg R 0.722
U 1000000 | F 1000000 | G 66666 | D 134 | EPS 0.010 | L 41802.873 | R 726.000 | Avg L 0.042 | Avg R 0.726
U 1010000 | F 1010000 | G 67333 | D 135 | EPS 0.010 | L 42275.762 | R 727.000 | Avg L 0.042 | Avg R 0.727
U 1020000 | F 1020000 | G 68000 | D 137 | EPS 0.010 | L 42770.621 | R 747.000 | Avg L 0.042 | Avg R 0.747
U 1030000 | F 1030000 | G 68666 | D 138 | EPS 0.010 | L 43248.619 | R 748.000 | Avg L 0.042 | Avg R 0.748
U 1040000 | F 1040000 | G 69333 | D 140 | EPS 0.010 | L 43704.520 | R 724.000 | Avg L 0.042 | Avg R 0.724
U 1050000 | F 1050000 | G 70000 | D 141 | EPS 0.010 | L 44188.035 | R 723.000 | Avg L 0.042 | Avg R 0.723
U 1060000 | F 1060000 | G 70666 | D 143 | EPS 0.010 | L 44663.974 | R 749.000 | Avg L 0.042 | Avg R 0.749
U 1070000 | F 1070000 | G 71333 | D 144 | EPS 0.010 | L 45142.972 | R 741.000 | Avg L 0.042 | Avg R 0.741
U 1080000 | F 1080000 | G 72000 | D 146 | EPS 0.010 | L 45625.544 | R 759.000 | Avg L 0.042 | Avg R 0.759
U 1090000 | F 1090000 | G 72666 | D 147 | EPS 0.010 | L 46075.656 | R 740.000 | Avg L 0.042 | Avg R 0.740
U 1100000 | F 1100000 | G 73333 | D 149 | EPS 0.010 | L 46532.422 | R 729.000 | Avg L 0.042 | Avg R 0.729
U 1110000 | F 1110000 | G 74000 | D 150 | EPS 0.010 | L 46995.427 | R 723.000 | Avg L 0.042 | Avg R 0.723
U 1120000 | F 1120000 | G 74666 | D 152 | EPS 0.010 | L 47485.680 | R 723.000 | Avg L 0.042 | Avg R 0.723
U 1130000 | F 1130000 | G 75333 | D 153 | EPS 0.010 | L 47971.160 | R 734.000 | Avg L 0.042 | Avg R 0.734
U 1140000 | F 1140000 | G 76000 | D 155 | EPS 0.010 | L 48448.193 | R 735.000 | Avg L 0.042 | Avg R 0.735
U 1150000 | F 1150000 | G 76666 | D 156 | EPS 0.010 | L 48897.485 | R 720.000 | Avg L 0.043 | Avg R 0.720
U 1160000 | F 1160000 | G 77333 | D 158 | EPS 0.010 | L 49370.756 | R 712.000 | Avg L 0.043 | Avg R 0.712
U 1170000 | F 1170000 | G 78000 | D 159 | EPS 0.010 | L 49858.086 | R 731.000 | Avg L 0.043 | Avg R 0.731
U 1180000 | F 1180000 | G 78666 | D 161 | EPS 0.010 | L 50322.863 | R 719.000 | Avg L 0.043 | Avg R 0.719
U 1190000 | F 1190000 | G 79333 | D 163 | EPS 0.010 | L 50820.172 | R 740.000 | Avg L 0.043 | Avg R 0.740
U 1200000 | F 1200000 | G 80000 | D 164 | EPS 0.010 | L 51287.330 | R 751.000 | Avg L 0.043 | Avg R 0.751
U 1210000 | F 1210000 | G 80666 | D 166 | EPS 0.010 | L 51714.086 | R 732.000 | Avg L 0.043 | Avg R 0.732
U 1220000 | F 1220000 | G 81333 | D 167 | EPS 0.010 | L 52175.817 | R 734.000 | Avg L 0.043 | Avg R 0.734
U 1230000 | F 1230000 | G 82000 | D 169 | EPS 0.010 | L 52599.515 | R 700.000 | Avg L 0.043 | Avg R 0.700
U 1240000 | F 1240000 | G 82666 | D 170 | EPS 0.010 | L 53069.108 | R 721.000 | Avg L 0.043 | Avg R 0.721
U 1250000 | F 1250000 | G 83333 | D 172 | EPS 0.010 | L 53551.848 | R 731.000 | Avg L 0.043 | Avg R 0.731
U 1260000 | F 1260000 | G 84000 | D 173 | EPS 0.010 | L 54001.506 | R 704.000 | Avg L 0.043 | Avg R 0.704
U 1270000 | F 1270000 | G 84666 | D 175 | EPS 0.010 | L 54472.077 | R 712.000 | Avg L 0.043 | Avg R 0.712
U 1280000 | F 1280000 | G 85333 | D 177 | EPS 0.010 | L 54941.877 | R 717.000 | Avg L 0.043 | Avg R 0.717
U 1290000 | F 1290000 | G 86000 | D 178 | EPS 0.010 | L 55396.384 | R 738.000 | Avg L 0.043 | Avg R 0.738
U 1300000 | F 1300000 | G 86666 | D 180 | EPS 0.010 | L 55804.676 | R 691.000 | Avg L 0.043 | Avg R 0.691
U 1310000 | F 1310000 | G 87333 | D 181 | EPS 0.010 | L 56254.670 | R 725.000 | Avg L 0.043 | Avg R 0.725
U 1320000 | F 1320000 | G 88000 | D 183 | EPS 0.010 | L 56720.956 | R 727.000 | Avg L 0.043 | Avg R 0.727
U 1330000 | F 1330000 | G 88666 | D 184 | EPS 0.010 | L 57160.164 | R 723.000 | Avg L 0.043 | Avg R 0.723
U 1340000 | F 1340000 | G 89333 | D 186 | EPS 0.010 | L 57606.220 | R 720.000 | Avg L 0.043 | Avg R 0.720
U 1350000 | F 1350000 | G 90000 | D 188 | EPS 0.010 | L 58060.823 | R 728.000 | Avg L 0.043 | Avg R 0.728
U 1360000 | F 1360000 | G 90666 | D 189 | EPS 0.010 | L 58528.023 | R 736.000 | Avg L 0.043 | Avg R 0.736
U 1370000 | F 1370000 | G 91333 | D 191 | EPS 0.010 | L 59007.050 | R 724.000 | Avg L 0.043 | Avg R 0.724
U 1380000 | F 1380000 | G 92000 | D 192 | EPS 0.010 | L 59476.679 | R 744.000 | Avg L 0.043 | Avg R 0.744
U 1390000 | F 1390000 | G 92666 | D 194 | EPS 0.010 | L 59916.548 | R 711.000 | Avg L 0.043 | Avg R 0.711
U 1400000 | F 1400000 | G 93333 | D 196 | EPS 0.010 | L 60363.852 | R 723.000 | Avg L 0.043 | Avg R 0.723
U 1410000 | F 1410000 | G 94000 | D 197 | EPS 0.010 | L 60804.312 | R 741.000 | Avg L 0.043 | Avg R 0.741
U 1420000 | F 1420000 | G 94666 | D 199 | EPS 0.010 | L 61215.472 | R 730.000 | Avg L 0.043 | Avg R 0.730
U 1430000 | F 1430000 | G 95333 | D 200 | EPS 0.010 | L 61641.347 | R 740.000 | Avg L 0.043 | Avg R 0.740
U 1440000 | F 1440000 | G 96000 | D 202 | EPS 0.010 | L 62153.011 | R 734.000 | Avg L 0.043 | Avg R 0.734
U 1450000 | F 1450000 | G 96666 | D 204 | EPS 0.010 | L 62627.748 | R 716.000 | Avg L 0.043 | Avg R 0.716
U 1460000 | F 1460000 | G 97333 | D 205 | EPS 0.010 | L 63149.654 | R 729.000 | Avg L 0.043 | Avg R 0.729
U 1470000 | F 1470000 | G 98000 | D 207 | EPS 0.010 | L 63609.245 | R 735.000 | Avg L 0.043 | Avg R 0.735
U 1480000 | F 1480000 | G 98666 | D 208 | EPS 0.010 | L 64052.779 | R 726.000 | Avg L 0.043 | Avg R 0.726
U 1490000 | F 1490000 | G 99333 | D 211 | EPS 0.010 | L 64565.581 | R 728.000 | Avg L 0.043 | Avg R 0.728
U 1500000 | F 1500000 | G 100000 | D 213 | EPS 0.010 | L 65048.049 | R 732.000 | Avg L 0.043 | Avg R 0.732
