main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=6000, eps_start=1.0, frames=45000, games=500, gamma=1.0, log_interval=1, lr=0, model=None, save_interval=1, seed=7)

Environments loaded

Training status loaded

U 3 | F 3 | G 1 | D 0 | EPS 1.000 | L 0.000 | R 1.000 | Avg L 0.000 | Avg R 1.000
U 40 | F 40 | G 13 | D 0 | EPS 0.994 | L -8.000 | R 5.000 | Avg L -0.615 | Avg R 0.385
U 41 | F 41 | G 13 | D 0 | EPS 0.993 | L -8.000 | R 5.000 | Avg L -0.615 | Avg R 0.385
U 42 | F 42 | G 13 | D 0 | EPS 0.993 | L -8.000 | R 5.000 | Avg L -0.615 | Avg R 0.385
U 42 | F 42 | G 14 | D 0 | EPS 0.993 | L -9.000 | R 5.000 | Avg L -0.643 | Avg R 0.357
U 43 | F 43 | G 14 | D 0 | EPS 0.993 | L -9.000 | R 5.000 | Avg L -0.643 | Avg R 0.357
U 44 | F 44 | G 14 | D 0 | EPS 0.993 | L -9.000 | R 5.000 | Avg L -0.643 | Avg R 0.357
U 45 | F 45 | G 14 | D 0 | EPS 0.993 | L -9.000 | R 5.000 | Avg L -0.643 | Avg R 0.357
U 45 | F 45 | G 15 | D 0 | EPS 0.993 | L -9.000 | R 6.000 | Avg L -0.600 | Avg R 0.400
U 46 | F 46 | G 15 | D 0 | EPS 0.993 | L -9.000 | R 6.000 | Avg L -0.600 | Avg R 0.400
U 47 | F 47 | G 15 | D 0 | EPS 0.992 | L -9.000 | R 6.000 | Avg L -0.600 | Avg R 0.400
U 48 | F 48 | G 15 | D 0 | EPS 0.992 | L -9.000 | R 6.000 | Avg L -0.600 | Avg R 0.400
U 48 | F 48 | G 16 | D 0 | EPS 0.992 | L -10.000 | R 6.000 | Avg L -0.625 | Avg R 0.375
U 49 | F 49 | G 16 | D 0 | EPS 0.992 | L -10.000 | R 6.000 | Avg L -0.625 | Avg R 0.375
U 50 | F 50 | G 16 | D 0 | EPS 0.992 | L -10.000 | R 6.000 | Avg L -0.625 | Avg R 0.375
U 51 | F 51 | G 16 | D 0 | EPS 0.992 | L -10.000 | R 6.000 | Avg L -0.625 | Avg R 0.375
U 51 | F 51 | G 17 | D 0 | EPS 0.992 | L -10.000 | R 7.000 | Avg L -0.588 | Avg R 0.412
U 52 | F 52 | G 17 | D 0 | EPS 0.992 | L -10.000 | R 7.000 | Avg L -0.588 | Avg R 0.412
U 53 | F 53 | G 17 | D 0 | EPS 0.991 | L -10.000 | R 7.000 | Avg L -0.588 | Avg R 0.412
U 54 | F 54 | G 17 | D 0 | EPS 0.991 | L -10.000 | R 7.000 | Avg L -0.588 | Avg R 0.412
U 54 | F 54 | G 18 | D 0 | EPS 0.991 | L -11.000 | R 7.000 | Avg L -0.611 | Avg R 0.389
U 55 | F 55 | G 18 | D 0 | EPS 0.991 | L -11.000 | R 7.000 | Avg L -0.611 | Avg R 0.389
U 56 | F 56 | G 18 | D 0 | EPS 0.991 | L -11.000 | R 7.000 | Avg L -0.611 | Avg R 0.389
U 57 | F 57 | G 18 | D 0 | EPS 0.991 | L -11.000 | R 7.000 | Avg L -0.611 | Avg R 0.389
U 57 | F 57 | G 19 | D 0 | EPS 0.991 | L -12.000 | R 7.000 | Avg L -0.632 | Avg R 0.368
U 58 | F 58 | G 19 | D 0 | EPS 0.991 | L -12.000 | R 7.000 | Avg L -0.632 | Avg R 0.368
U 59 | F 59 | G 19 | D 0 | EPS 0.990 | L -12.000 | R 7.000 | Avg L -0.632 | Avg R 0.368
U 60 | F 60 | G 19 | D 0 | EPS 0.990 | L -12.000 | R 7.000 | Avg L -0.632 | Avg R 0.368
U 60 | F 60 | G 20 | D 0 | EPS 0.990 | L -13.000 | R 7.000 | Avg L -0.650 | Avg R 0.350
U 61 | F 61 | G 20 | D 0 | EPS 0.990 | L -13.000 | R 7.000 | Avg L -0.650 | Avg R 0.350
U 62 | F 62 | G 20 | D 0 | EPS 0.990 | L -13.000 | R 7.000 | Avg L -0.650 | Avg R 0.350
U 63 | F 63 | G 20 | D 0 | EPS 0.990 | L -13.000 | R 7.000 | Avg L -0.650 | Avg R 0.350
U 63 | F 63 | G 21 | D 0 | EPS 0.990 | L -13.000 | R 8.000 | Avg L -0.619 | Avg R 0.381
U 64 | F 64 | G 21 | D 0 | EPS 0.990 | L -13.000 | R 8.000 | Avg L -0.619 | Avg R 0.381
U 65 | F 65 | G 21 | D 0 | EPS 0.989 | L -13.000 | R 8.000 | Avg L -0.619 | Avg R 0.381
U 66 | F 66 | G 21 | D 0 | EPS 0.989 | L -13.000 | R 8.000 | Avg L -0.619 | Avg R 0.381
U 66 | F 66 | G 22 | D 0 | EPS 0.989 | L -13.000 | R 9.000 | Avg L -0.591 | Avg R 0.409
U 67 | F 67 | G 22 | D 0 | EPS 0.989 | L -13.000 | R 9.000 | Avg L -0.591 | Avg R 0.409
U 68 | F 68 | G 22 | D 0 | EPS 0.989 | L -13.000 | R 9.000 | Avg L -0.591 | Avg R 0.409
U 69 | F 69 | G 22 | D 0 | EPS 0.989 | L -13.000 | R 9.000 | Avg L -0.591 | Avg R 0.409
U 69 | F 69 | G 23 | D 0 | EPS 0.989 | L -13.000 | R 10.000 | Avg L -0.565 | Avg R 0.435
U 70 | F 70 | G 23 | D 0 | EPS 0.989 | L -13.000 | R 10.000 | Avg L -0.565 | Avg R 0.435
U 71 | F 71 | G 23 | D 0 | EPS 0.988 | L -13.000 | R 10.000 | Avg L -0.565 | Avg R 0.435
U 72 | F 72 | G 23 | D 0 | EPS 0.988 | L -13.000 | R 10.000 | Avg L -0.565 | Avg R 0.435
U 72 | F 72 | G 24 | D 0 | EPS 0.988 | L -14.000 | R 10.000 | Avg L -0.583 | Avg R 0.417
U 73 | F 73 | G 24 | D 0 | EPS 0.988 | L -14.000 | R 10.000 | Avg L -0.583 | Avg R 0.417
U 74 | F 74 | G 24 | D 0 | EPS 0.988 | L -14.000 | R 10.000 | Avg L -0.583 | Avg R 0.417
U 75 | F 75 | G 24 | D 0 | EPS 0.988 | L -14.000 | R 10.000 | Avg L -0.583 | Avg R 0.417
U 75 | F 75 | G 25 | D 0 | EPS 0.988 | L -14.000 | R 11.000 | Avg L -0.560 | Avg R 0.440
U 76 | F 76 | G 25 | D 0 | EPS 0.988 | L -14.000 | R 11.000 | Avg L -0.560 | Avg R 0.440
U 77 | F 77 | G 25 | D 0 | EPS 0.987 | L -14.000 | R 11.000 | Avg L -0.560 | Avg R 0.440
U 78 | F 78 | G 25 | D 0 | EPS 0.987 | L -14.000 | R 11.000 | Avg L -0.560 | Avg R 0.440
U 78 | F 78 | G 26 | D 0 | EPS 0.987 | L -14.000 | R 12.000 | Avg L -0.538 | Avg R 0.462
U 79 | F 79 | G 26 | D 0 | EPS 0.987 | L -14.000 | R 12.000 | Avg L -0.538 | Avg R 0.462
U 80 | F 80 | G 26 | D 0 | EPS 0.987 | L -14.000 | R 12.000 | Avg L -0.538 | Avg R 0.462
U 81 | F 81 | G 26 | D 0 | EPS 0.987 | L -14.000 | R 12.000 | Avg L -0.538 | Avg R 0.462
U 81 | F 81 | G 27 | D 0 | EPS 0.987 | L -15.000 | R 12.000 | Avg L -0.556 | Avg R 0.444
U 82 | F 82 | G 27 | D 0 | EPS 0.987 | L -15.000 | R 12.000 | Avg L -0.556 | Avg R 0.444
U 83 | F 83 | G 27 | D 0 | EPS 0.986 | L -15.000 | R 12.000 | Avg L -0.556 | Avg R 0.444
U 84 | F 84 | G 27 | D 0 | EPS 0.986 | L -15.000 | R 12.000 | Avg L -0.556 | Avg R 0.444
U 84 | F 84 | G 28 | D 0 | EPS 0.986 | L -15.000 | R 13.000 | Avg L -0.536 | Avg R 0.464
U 85 | F 85 | G 28 | D 0 | EPS 0.986 | L -15.000 | R 13.000 | Avg L -0.536 | Avg R 0.464
U 86 | F 86 | G 28 | D 0 | EPS 0.986 | L -15.000 | R 13.000 | Avg L -0.536 | Avg R 0.464
U 87 | F 87 | G 28 | D 0 | EPS 0.986 | L -15.000 | R 13.000 | Avg L -0.536 | Avg R 0.464
U 87 | F 87 | G 29 | D 0 | EPS 0.986 | L -15.000 | R 14.000 | Avg L -0.517 | Avg R 0.483
U 88 | F 88 | G 29 | D 0 | EPS 0.986 | L -15.000 | R 14.000 | Avg L -0.517 | Avg R 0.483
U 89 | F 89 | G 29 | D 0 | EPS 0.985 | L -15.000 | R 14.000 | Avg L -0.517 | Avg R 0.483
U 90 | F 90 | G 29 | D 0 | EPS 0.985 | L -15.000 | R 14.000 | Avg L -0.517 | Avg R 0.483
U 90 | F 90 | G 30 | D 0 | EPS 0.985 | L -16.000 | R 14.000 | Avg L -0.533 | Avg R 0.467
U 91 | F 91 | G 30 | D 0 | EPS 0.985 | L -16.000 | R 14.000 | Avg L -0.533 | Avg R 0.467
U 92 | F 92 | G 30 | D 0 | EPS 0.985 | L -16.000 | R 14.000 | Avg L -0.533 | Avg R 0.467
U 93 | F 93 | G 30 | D 0 | EPS 0.985 | L -16.000 | R 14.000 | Avg L -0.533 | Avg R 0.467
U 93 | F 93 | G 31 | D 0 | EPS 0.985 | L -17.000 | R 14.000 | Avg L -0.548 | Avg R 0.452
U 94 | F 94 | G 31 | D 0 | EPS 0.985 | L -17.000 | R 14.000 | Avg L -0.548 | Avg R 0.452
U 95 | F 95 | G 31 | D 0 | EPS 0.984 | L -17.000 | R 14.000 | Avg L -0.548 | Avg R 0.452
U 96 | F 96 | G 31 | D 0 | EPS 0.984 | L -17.000 | R 14.000 | Avg L -0.548 | Avg R 0.452
U 96 | F 96 | G 32 | D 0 | EPS 0.984 | L -18.000 | R 14.000 | Avg L -0.562 | Avg R 0.438
U 97 | F 97 | G 32 | D 0 | EPS 0.984 | L -18.000 | R 14.000 | Avg L -0.562 | Avg R 0.438
U 98 | F 98 | G 32 | D 0 | EPS 0.984 | L -18.000 | R 14.000 | Avg L -0.562 | Avg R 0.438
U 99 | F 99 | G 32 | D 0 | EPS 0.984 | L -18.000 | R 14.000 | Avg L -0.562 | Avg R 0.438
U 99 | F 99 | G 33 | D 0 | EPS 0.984 | L -19.000 | R 14.000 | Avg L -0.576 | Avg R 0.424
U 100 | F 100 | G 33 | D 0 | EPS 0.984 | L -19.000 | R 14.000 | Avg L -0.576 | Avg R 0.424
U 101 | F 101 | G 33 | D 0 | EPS 0.983 | L -19.000 | R 14.000 | Avg L -0.576 | Avg R 0.424
