main.py --seed 7

Namespace(algo='q-learning', convg=0.01, env='tokens-v0', frames=7500, games=500, log_interval=1, lr=0.01, model=None, save_interval=30, seed=7)

Environments loaded

Training status loaded

U 65 | F 65 | G 4 | D 0 | EPS 0.915 | L 2.020 | R 2.000 | Avg L 0.031 | Avg R 0.500
U 66 | F 66 | G 4 | D 0 | EPS 0.913 | L 2.020 | R 2.000 | Avg L 0.031 | Avg R 0.500
U 67 | F 67 | G 4 | D 0 | EPS 0.912 | L 2.020 | R 2.000 | Avg L 0.030 | Avg R 0.500
U 68 | F 68 | G 4 | D 0 | EPS 0.911 | L 2.020 | R 2.000 | Avg L 0.030 | Avg R 0.500
U 69 | F 69 | G 4 | D 0 | EPS 0.909 | L 2.020 | R 2.000 | Avg L 0.029 | Avg R 0.500
U 70 | F 70 | G 4 | D 0 | EPS 0.908 | L 2.020 | R 2.000 | Avg L 0.029 | Avg R 0.500
U 71 | F 71 | G 4 | D 0 | EPS 0.907 | L 2.020 | R 2.000 | Avg L 0.028 | Avg R 0.500
U 72 | F 72 | G 4 | D 0 | EPS 0.905 | L 2.020 | R 2.000 | Avg L 0.028 | Avg R 0.500
U 73 | F 73 | G 4 | D 0 | EPS 0.904 | L 2.020 | R 2.000 | Avg L 0.028 | Avg R 0.500
U 74 | F 74 | G 4 | D 0 | EPS 0.903 | L 2.020 | R 2.000 | Avg L 0.027 | Avg R 0.500
U 75 | F 75 | G 5 | D 0 | EPS 0.901 | L 1.020 | R 1.000 | Avg L 0.014 | Avg R 0.200
U 76 | F 76 | G 5 | D 0 | EPS 0.900 | L 1.030 | R 1.000 | Avg L 0.014 | Avg R 0.200
U 77 | F 77 | G 5 | D 0 | EPS 0.899 | L 1.030 | R 1.000 | Avg L 0.013 | Avg R 0.200
U 78 | F 78 | G 5 | D 0 | EPS 0.897 | L 1.030 | R 1.000 | Avg L 0.013 | Avg R 0.200
U 79 | F 79 | G 5 | D 0 | EPS 0.896 | L 1.030 | R 1.000 | Avg L 0.013 | Avg R 0.200
U 80 | F 80 | G 5 | D 0 | EPS 0.895 | L 1.030 | R 1.000 | Avg L 0.013 | Avg R 0.200
U 81 | F 81 | G 5 | D 0 | EPS 0.893 | L 1.030 | R 1.000 | Avg L 0.013 | Avg R 0.200
U 82 | F 82 | G 5 | D 0 | EPS 0.892 | L 1.030 | R 1.000 | Avg L 0.013 | Avg R 0.200
U 83 | F 83 | G 5 | D 0 | EPS 0.891 | L 1.030 | R 1.000 | Avg L 0.012 | Avg R 0.200
U 84 | F 84 | G 5 | D 0 | EPS 0.889 | L 1.030 | R 1.000 | Avg L 0.012 | Avg R 0.200
U 85 | F 85 | G 5 | D 0 | EPS 0.888 | L 1.030 | R 1.000 | Avg L 0.012 | Avg R 0.200
U 86 | F 86 | G 5 | D 0 | EPS 0.887 | L 1.030 | R 1.000 | Avg L 0.012 | Avg R 0.200
U 87 | F 87 | G 5 | D 0 | EPS 0.885 | L 1.030 | R 1.000 | Avg L 0.012 | Avg R 0.200
U 88 | F 88 | G 5 | D 0 | EPS 0.884 | L 1.030 | R 1.000 | Avg L 0.012 | Avg R 0.200
U 89 | F 89 | G 5 | D 0 | EPS 0.883 | L 1.030 | R 1.000 | Avg L 0.012 | Avg R 0.200
U 90 | F 90 | G 6 | D 0 | EPS 0.881 | L 0.030 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 91 | F 91 | G 6 | D 0 | EPS 0.880 | L 0.050 | R 0.000 | Avg L 0.001 | Avg R 0.000
U 92 | F 92 | G 6 | D 0 | EPS 0.879 | L 0.050 | R 0.000 | Avg L 0.001 | Avg R 0.000
U 93 | F 93 | G 6 | D 0 | EPS 0.877 | L 0.050 | R 0.000 | Avg L 0.001 | Avg R 0.000
U 94 | F 94 | G 6 | D 0 | EPS 0.876 | L 0.050 | R 0.000 | Avg L 0.001 | Avg R 0.000
U 95 | F 95 | G 6 | D 0 | EPS 0.875 | L 0.050 | R 0.000 | Avg L 0.001 | Avg R 0.000
U 96 | F 96 | G 6 | D 0 | EPS 0.873 | L 0.050 | R 0.000 | Avg L 0.001 | Avg R 0.000
U 97 | F 97 | G 6 | D 0 | EPS 0.872 | L 0.050 | R 0.000 | Avg L 0.001 | Avg R 0.000
U 98 | F 98 | G 6 | D 0 | EPS 0.871 | L 0.050 | R 0.000 | Avg L 0.001 | Avg R 0.000
U 99 | F 99 | G 6 | D 0 | EPS 0.869 | L 0.050 | R 0.000 | Avg L 0.001 | Avg R 0.000
U 100 | F 100 | G 6 | D 0 | EPS 0.868 | L 0.050 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 101 | F 101 | G 6 | D 0 | EPS 0.867 | L 0.050 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 102 | F 102 | G 6 | D 0 | EPS 0.865 | L 0.050 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 103 | F 103 | G 6 | D 0 | EPS 0.864 | L 0.050 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 104 | F 104 | G 6 | D 0 | EPS 0.863 | L 0.050 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 105 | F 105 | G 7 | D 0 | EPS 0.861 | L 1.050 | R 1.000 | Avg L 0.010 | Avg R 0.143
U 106 | F 106 | G 7 | D 0 | EPS 0.860 | L 1.050 | R 1.000 | Avg L 0.010 | Avg R 0.143
U 107 | F 107 | G 7 | D 0 | EPS 0.859 | L 1.050 | R 1.000 | Avg L 0.010 | Avg R 0.143
U 108 | F 108 | G 7 | D 0 | EPS 0.857 | L 1.040 | R 1.000 | Avg L 0.010 | Avg R 0.143
U 109 | F 109 | G 7 | D 0 | EPS 0.856 | L 1.040 | R 1.000 | Avg L 0.010 | Avg R 0.143
U 110 | F 110 | G 7 | D 0 | EPS 0.855 | L 1.040 | R 1.000 | Avg L 0.009 | Avg R 0.143
U 111 | F 111 | G 7 | D 0 | EPS 0.853 | L 1.040 | R 1.000 | Avg L 0.009 | Avg R 0.143
U 112 | F 112 | G 7 | D 0 | EPS 0.852 | L 1.040 | R 1.000 | Avg L 0.009 | Avg R 0.143
U 113 | F 113 | G 7 | D 0 | EPS 0.851 | L 1.040 | R 1.000 | Avg L 0.009 | Avg R 0.143
U 114 | F 114 | G 7 | D 0 | EPS 0.849 | L 1.040 | R 1.000 | Avg L 0.009 | Avg R 0.143
U 115 | F 115 | G 7 | D 0 | EPS 0.848 | L 1.040 | R 1.000 | Avg L 0.009 | Avg R 0.143
U 116 | F 116 | G 7 | D 0 | EPS 0.847 | L 1.040 | R 1.000 | Avg L 0.009 | Avg R 0.143
U 117 | F 117 | G 7 | D 0 | EPS 0.845 | L 1.040 | R 1.000 | Avg L 0.009 | Avg R 0.143
U 118 | F 118 | G 7 | D 0 | EPS 0.844 | L 1.040 | R 1.000 | Avg L 0.009 | Avg R 0.143
U 119 | F 119 | G 7 | D 0 | EPS 0.843 | L 1.040 | R 1.000 | Avg L 0.009 | Avg R 0.143
U 120 | F 120 | G 8 | D 0 | EPS 0.841 | L 2.040 | R 2.000 | Avg L 0.017 | Avg R 0.250
U 121 | F 121 | G 8 | D 0 | EPS 0.840 | L 2.040 | R 2.000 | Avg L 0.017 | Avg R 0.250
U 122 | F 122 | G 8 | D 0 | EPS 0.839 | L 2.040 | R 2.000 | Avg L 0.017 | Avg R 0.250
U 123 | F 123 | G 8 | D 0 | EPS 0.837 | L 2.040 | R 2.000 | Avg L 0.017 | Avg R 0.250
U 124 | F 124 | G 8 | D 0 | EPS 0.836 | L 2.040 | R 2.000 | Avg L 0.016 | Avg R 0.250
U 125 | F 125 | G 8 | D 0 | EPS 0.835 | L 2.040 | R 2.000 | Avg L 0.016 | Avg R 0.250
U 126 | F 126 | G 8 | D 0 | EPS 0.833 | L 2.040 | R 2.000 | Avg L 0.016 | Avg R 0.250
U 127 | F 127 | G 8 | D 0 | EPS 0.832 | L 2.040 | R 2.000 | Avg L 0.016 | Avg R 0.250
U 128 | F 128 | G 8 | D 0 | EPS 0.831 | L 2.040 | R 2.000 | Avg L 0.016 | Avg R 0.250
U 129 | F 129 | G 8 | D 0 | EPS 0.829 | L 2.040 | R 2.000 | Avg L 0.016 | Avg R 0.250
U 130 | F 130 | G 8 | D 0 | EPS 0.828 | L 2.040 | R 2.000 | Avg L 0.016 | Avg R 0.250
U 131 | F 131 | G 8 | D 0 | EPS 0.827 | L 2.040 | R 2.000 | Avg L 0.016 | Avg R 0.250
U 132 | F 132 | G 8 | D 0 | EPS 0.825 | L 2.040 | R 2.000 | Avg L 0.015 | Avg R 0.250
U 133 | F 133 | G 8 | D 0 | EPS 0.824 | L 2.040 | R 2.000 | Avg L 0.015 | Avg R 0.250
U 134 | F 134 | G 8 | D 0 | EPS 0.823 | L 2.040 | R 2.000 | Avg L 0.015 | Avg R 0.250
U 135 | F 135 | G 9 | D 0 | EPS 0.821 | L 1.040 | R 1.000 | Avg L 0.008 | Avg R 0.111
U 136 | F 136 | G 9 | D 0 | EPS 0.820 | L 1.040 | R 1.000 | Avg L 0.008 | Avg R 0.111
U 137 | F 137 | G 9 | D 0 | EPS 0.819 | L 1.040 | R 1.000 | Avg L 0.008 | Avg R 0.111
U 138 | F 138 | G 9 | D 0 | EPS 0.817 | L 1.040 | R 1.000 | Avg L 0.008 | Avg R 0.111
U 139 | F 139 | G 9 | D 0 | EPS 0.816 | L 1.040 | R 1.000 | Avg L 0.007 | Avg R 0.111
U 140 | F 140 | G 9 | D 0 | EPS 0.815 | L 1.040 | R 1.000 | Avg L 0.007 | Avg R 0.111
U 141 | F 141 | G 9 | D 0 | EPS 0.813 | L 1.040 | R 1.000 | Avg L 0.007 | Avg R 0.111
U 142 | F 142 | G 9 | D 0 | EPS 0.812 | L 1.040 | R 1.000 | Avg L 0.007 | Avg R 0.111
U 143 | F 143 | G 9 | D 0 | EPS 0.811 | L 1.040 | R 1.000 | Avg L 0.007 | Avg R 0.111
U 144 | F 144 | G 9 | D 0 | EPS 0.809 | L 1.040 | R 1.000 | Avg L 0.007 | Avg R 0.111
U 145 | F 145 | G 9 | D 0 | EPS 0.808 | L 1.040 | R 1.000 | Avg L 0.007 | Avg R 0.111
U 146 | F 146 | G 9 | D 0 | EPS 0.807 | L 1.040 | R 1.000 | Avg L 0.007 | Avg R 0.111
U 147 | F 147 | G 9 | D 0 | EPS 0.805 | L 1.040 | R 1.000 | Avg L 0.007 | Avg R 0.111
U 148 | F 148 | G 9 | D 0 | EPS 0.804 | L 1.040 | R 1.000 | Avg L 0.007 | Avg R 0.111
U 149 | F 149 | G 9 | D 0 | EPS 0.803 | L 1.040 | R 1.000 | Avg L 0.007 | Avg R 0.111
U 150 | F 150 | G 10 | D 0 | EPS 0.801 | L 2.040 | R 2.000 | Avg L 0.014 | Avg R 0.200
U 151 | F 151 | G 10 | D 0 | EPS 0.800 | L 2.050 | R 2.000 | Avg L 0.014 | Avg R 0.200
U 152 | F 152 | G 10 | D 0 | EPS 0.799 | L 2.050 | R 2.000 | Avg L 0.013 | Avg R 0.200
U 153 | F 153 | G 10 | D 0 | EPS 0.797 | L 2.050 | R 2.000 | Avg L 0.013 | Avg R 0.200
U 154 | F 154 | G 10 | D 0 | EPS 0.796 | L 2.050 | R 2.000 | Avg L 0.013 | Avg R 0.200
U 155 | F 155 | G 10 | D 0 | EPS 0.795 | L 2.050 | R 2.000 | Avg L 0.013 | Avg R 0.200
U 156 | F 156 | G 10 | D 0 | EPS 0.793 | L 2.050 | R 2.000 | Avg L 0.013 | Avg R 0.200
U 157 | F 157 | G 10 | D 0 | EPS 0.792 | L 2.050 | R 2.000 | Avg L 0.013 | Avg R 0.200
