update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
50,50,3,0,0.9891111111111112,2.0,2,0.04,0.6666666666666666,2.0,2,0.04,0.666666666667
51,51,3,0,0.9888888888888889,2.0,2,0.0392156862745098,0.6666666666666666,2.0,2,0.0392156862745,0.666666666667
52,52,3,0,0.9886666666666667,2.0,2,0.038461538461538464,0.6666666666666666,2.0,2,0.0384615384615,0.666666666667
53,53,3,0,0.9884444444444445,2.0,2,0.03773584905660377,0.6666666666666666,2.0,2,0.0377358490566,0.666666666667
54,54,3,0,0.9882222222222222,2.0,2,0.037037037037037035,0.6666666666666666,2.0,2,0.037037037037,0.666666666667
55,55,3,0,0.988,2.0,2,0.03636363636363636,0.6666666666666666,2.0,2,0.0363636363636,0.666666666667
56,56,3,0,0.9877777777777778,2.0,2,0.03571428571428571,0.6666666666666666,2.0,2,0.0357142857143,0.666666666667
57,57,3,0,0.9875555555555555,2.0,2,0.03508771929824561,0.6666666666666666,2.0,2,0.0350877192982,0.666666666667
58,58,3,0,0.9873333333333333,2.0,2,0.034482758620689655,0.6666666666666666,2.0,2,0.0344827586207,0.666666666667
59,59,3,0,0.9871111111111112,2.0,2,0.03389830508474576,0.6666666666666666,2.0,2,0.0338983050847,0.666666666667
60,60,4,0,0.9868888888888889,2.0,2,0.03333333333333333,0.5,2.0,2,0.0333333333333,0.5
61,61,4,0,0.9866666666666667,2.0,2,0.03278688524590164,0.5,2.0,2,0.0327868852459,0.5
62,62,4,0,0.9864444444444445,2.0,2,0.03225806451612903,0.5,2.0,2,0.0322580645161,0.5
63,63,4,0,0.9862222222222222,2.0,2,0.031746031746031744,0.5,2.0,2,0.031746031746,0.5
64,64,4,0,0.986,2.0,2,0.03125,0.5,2.0,2,0.03125,0.5
65,65,4,0,0.9857777777777778,2.0,2,0.03076923076923077,0.5,2.0,2,0.0307692307692,0.5
66,66,4,0,0.9855555555555555,2.0,2,0.030303030303030304,0.5,2.0,2,0.030303030303,0.5
67,67,4,0,0.9853333333333333,2.0,2,0.029850746268656716,0.5,2.0,2,0.0298507462687,0.5
68,68,4,0,0.9851111111111112,2.0,2,0.029411764705882353,0.5,2.0,2,0.0294117647059,0.5
69,69,4,0,0.9848888888888889,2.0,2,0.028985507246376812,0.5,2.0,2,0.0289855072464,0.5
70,70,4,0,0.9846666666666667,2.0,2,0.02857142857142857,0.5,2.0,2,0.0285714285714,0.5
71,71,4,0,0.9844444444444445,2.0,2,0.028169014084507043,0.5,2.0,2,0.0281690140845,0.5
72,72,4,0,0.9842222222222222,2.0,2,0.027777777777777776,0.5,2.0,2,0.0277777777778,0.5
73,73,4,0,0.984,2.0,2,0.0273972602739726,0.5,2.0,2,0.027397260274,0.5
74,74,4,0,0.9837777777777778,2.0,2,0.02702702702702703,0.5,2.0,2,0.027027027027,0.5
75,75,5,0,0.9835555555555555,2.0,2,0.02666666666666667,0.4,2.0,2,0.0266666666667,0.4
76,76,5,0,0.9833333333333333,2.0,2,0.02631578947368421,0.4,2.0,2,0.0263157894737,0.4
77,77,5,0,0.9831111111111112,2.0,2,0.025974025974025976,0.4,2.0,2,0.025974025974,0.4
78,78,5,0,0.9828888888888889,2.0,2,0.02564102564102564,0.4,2.0,2,0.025641025641,0.4
79,79,5,0,0.9826666666666667,2.0,2,0.02531645569620253,0.4,2.0,2,0.0253164556962,0.4
80,80,5,0,0.9824444444444445,2.0,2,0.025,0.4,2.0,2,0.025,0.4
81,81,5,0,0.9822222222222222,2.0,2,0.024691358024691357,0.4,2.0,2,0.0246913580247,0.4
82,82,5,0,0.982,2.0,2,0.024390243902439025,0.4,2.0,2,0.0243902439024,0.4
83,83,5,0,0.9817777777777777,2.0,2,0.024096385542168676,0.4,2.0,2,0.0240963855422,0.4
84,84,5,0,0.9815555555555555,2.0,2,0.023809523809523808,0.4,2.0,2,0.0238095238095,0.4
85,85,5,0,0.9813333333333333,2.0,2,0.023529411764705882,0.4,2.0,2,0.0235294117647,0.4
86,86,5,0,0.9811111111111112,2.0,2,0.023255813953488372,0.4,2.0,2,0.0232558139535,0.4
