main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=450000, eps_start=1.0, frames=1500000, games=500, log_interval=10000, lr=0.0001, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 470000 | F 470000 | G 31333 | D 67 | EPS 0.001 | L 16501.838 | R 744.000 | Avg L 0.035 | Avg R 0.744
U 480000 | F 480000 | G 32000 | D 68 | EPS 0.001 | L 17002.232 | R 749.000 | Avg L 0.035 | Avg R 0.749
U 490000 | F 490000 | G 32666 | D 70 | EPS 0.001 | L 17500.915 | R 746.000 | Avg L 0.036 | Avg R 0.746
U 500000 | F 500000 | G 33333 | D 71 | EPS 0.001 | L 18030.484 | R 779.000 | Avg L 0.036 | Avg R 0.779
U 510000 | F 510000 | G 34000 | D 72 | EPS 0.001 | L 18526.914 | R 768.000 | Avg L 0.036 | Avg R 0.768
U 520000 | F 520000 | G 34666 | D 74 | EPS 0.001 | L 19034.192 | R 756.000 | Avg L 0.037 | Avg R 0.756
U 530000 | F 530000 | G 35333 | D 75 | EPS 0.001 | L 19528.161 | R 748.000 | Avg L 0.037 | Avg R 0.748
U 540000 | F 540000 | G 36000 | D 76 | EPS 0.001 | L 20034.099 | R 754.000 | Avg L 0.037 | Avg R 0.754
U 550000 | F 550000 | G 36666 | D 78 | EPS 0.001 | L 20531.043 | R 761.000 | Avg L 0.037 | Avg R 0.761
U 560000 | F 560000 | G 37333 | D 79 | EPS 0.001 | L 21034.189 | R 758.000 | Avg L 0.038 | Avg R 0.758
U 570000 | F 570000 | G 38000 | D 80 | EPS 0.001 | L 21527.581 | R 750.000 | Avg L 0.038 | Avg R 0.750
U 580000 | F 580000 | G 38666 | D 82 | EPS 0.001 | L 22035.247 | R 759.000 | Avg L 0.038 | Avg R 0.759
U 590000 | F 590000 | G 39333 | D 83 | EPS 0.001 | L 22520.913 | R 747.000 | Avg L 0.038 | Avg R 0.747
U 600000 | F 600000 | G 40000 | D 84 | EPS 0.001 | L 23045.582 | R 776.000 | Avg L 0.038 | Avg R 0.776
U 610000 | F 610000 | G 40666 | D 86 | EPS 0.001 | L 23540.046 | R 762.000 | Avg L 0.039 | Avg R 0.762
U 620000 | F 620000 | G 41333 | D 87 | EPS 0.001 | L 24034.411 | R 748.000 | Avg L 0.039 | Avg R 0.748
U 630000 | F 630000 | G 42000 | D 89 | EPS 0.001 | L 24544.742 | R 758.000 | Avg L 0.039 | Avg R 0.758
U 640000 | F 640000 | G 42666 | D 90 | EPS 0.001 | L 25049.909 | R 767.000 | Avg L 0.039 | Avg R 0.767
U 650000 | F 650000 | G 43333 | D 91 | EPS 0.001 | L 25540.878 | R 751.000 | Avg L 0.039 | Avg R 0.751
U 660000 | F 660000 | G 44000 | D 93 | EPS 0.001 | L 26049.395 | R 758.000 | Avg L 0.039 | Avg R 0.758
U 670000 | F 670000 | G 44666 | D 94 | EPS 0.001 | L 26553.961 | R 764.000 | Avg L 0.040 | Avg R 0.764
U 680000 | F 680000 | G 45333 | D 96 | EPS 0.001 | L 27047.326 | R 753.000 | Avg L 0.040 | Avg R 0.753
U 690000 | F 690000 | G 46000 | D 97 | EPS 0.001 | L 27538.170 | R 743.000 | Avg L 0.040 | Avg R 0.743
U 700000 | F 700000 | G 46666 | D 99 | EPS 0.001 | L 28036.450 | R 755.000 | Avg L 0.040 | Avg R 0.755
U 710000 | F 710000 | G 47333 | D 100 | EPS 0.001 | L 28524.132 | R 735.000 | Avg L 0.040 | Avg R 0.735
U 720000 | F 720000 | G 48000 | D 102 | EPS 0.001 | L 29001.353 | R 743.000 | Avg L 0.040 | Avg R 0.743
U 730000 | F 730000 | G 48666 | D 105 | EPS 0.001 | L 29483.506 | R 736.000 | Avg L 0.040 | Avg R 0.736
U 740000 | F 740000 | G 49333 | D 107 | EPS 0.001 | L 29971.027 | R 736.000 | Avg L 0.041 | Avg R 0.736
U 750000 | F 750000 | G 50000 | D 109 | EPS 0.001 | L 30468.424 | R 756.000 | Avg L 0.041 | Avg R 0.756
U 760000 | F 760000 | G 50666 | D 110 | EPS 0.001 | L 30936.948 | R 727.000 | Avg L 0.041 | Avg R 0.727
U 770000 | F 770000 | G 51333 | D 111 | EPS 0.001 | L 31401.364 | R 708.000 | Avg L 0.041 | Avg R 0.708
U 780000 | F 780000 | G 52000 | D 113 | EPS 0.001 | L 31886.837 | R 736.000 | Avg L 0.041 | Avg R 0.736
U 790000 | F 790000 | G 52666 | D 114 | EPS 0.001 | L 32366.259 | R 737.000 | Avg L 0.041 | Avg R 0.737
U 800000 | F 800000 | G 53333 | D 116 | EPS 0.001 | L 32824.558 | R 706.000 | Avg L 0.041 | Avg R 0.706
U 810000 | F 810000 | G 54000 | D 117 | EPS 0.001 | L 33312.670 | R 750.000 | Avg L 0.041 | Avg R 0.750
U 820000 | F 820000 | G 54666 | D 118 | EPS 0.001 | L 33820.799 | R 773.000 | Avg L 0.041 | Avg R 0.773
U 830000 | F 830000 | G 55333 | D 120 | EPS 0.001 | L 34320.516 | R 769.000 | Avg L 0.041 | Avg R 0.769
U 840000 | F 840000 | G 56000 | D 121 | EPS 0.001 | L 34805.482 | R 751.000 | Avg L 0.041 | Avg R 0.751
U 850000 | F 850000 | G 56666 | D 123 | EPS 0.001 | L 35288.937 | R 757.000 | Avg L 0.042 | Avg R 0.757
U 860000 | F 860000 | G 57333 | D 124 | EPS 0.001 | L 35800.964 | R 772.000 | Avg L 0.042 | Avg R 0.772
U 870000 | F 870000 | G 58000 | D 126 | EPS 0.001 | L 36282.992 | R 756.000 | Avg L 0.042 | Avg R 0.756
U 880000 | F 880000 | G 58666 | D 127 | EPS 0.001 | L 36750.765 | R 736.000 | Avg L 0.042 | Avg R 0.736
U 890000 | F 890000 | G 59333 | D 129 | EPS 0.001 | L 37247.747 | R 747.000 | Avg L 0.042 | Avg R 0.747
U 900000 | F 900000 | G 60000 | D 130 | EPS 0.001 | L 37711.309 | R 725.000 | Avg L 0.042 | Avg R 0.725
U 910000 | F 910000 | G 60666 | D 131 | EPS 0.001 | L 38196.489 | R 730.000 | Avg L 0.042 | Avg R 0.730
U 920000 | F 920000 | G 61333 | D 133 | EPS 0.001 | L 38683.804 | R 748.000 | Avg L 0.042 | Avg R 0.748
U 930000 | F 930000 | G 62000 | D 134 | EPS 0.001 | L 39170.626 | R 759.000 | Avg L 0.042 | Avg R 0.759
U 940000 | F 940000 | G 62666 | D 136 | EPS 0.001 | L 39649.155 | R 730.000 | Avg L 0.042 | Avg R 0.730
U 950000 | F 950000 | G 63333 | D 137 | EPS 0.001 | L 40129.254 | R 755.000 | Avg L 0.042 | Avg R 0.755
U 960000 | F 960000 | G 64000 | D 139 | EPS 0.001 | L 40635.653 | R 766.000 | Avg L 0.042 | Avg R 0.766
U 970000 | F 970000 | G 64666 | D 140 | EPS 0.001 | L 41108.292 | R 752.000 | Avg L 0.042 | Avg R 0.752
U 980000 | F 980000 | G 65333 | D 142 | EPS 0.001 | L 41588.254 | R 741.000 | Avg L 0.042 | Avg R 0.741
U 990000 | F 990000 | G 66000 | D 143 | EPS 0.001 | L 42053.507 | R 712.000 | Avg L 0.042 | Avg R 0.712
U 1000000 | F 1000000 | G 66666 | D 145 | EPS 0.001 | L 42532.054 | R 753.000 | Avg L 0.043 | Avg R 0.753
U 1010000 | F 1010000 | G 67333 | D 146 | EPS 0.001 | L 43007.817 | R 743.000 | Avg L 0.043 | Avg R 0.743
U 1020000 | F 1020000 | G 68000 | D 148 | EPS 0.001 | L 43492.754 | R 746.000 | Avg L 0.043 | Avg R 0.746
U 1030000 | F 1030000 | G 68666 | D 149 | EPS 0.001 | L 43989.733 | R 768.000 | Avg L 0.043 | Avg R 0.768
U 1040000 | F 1040000 | G 69333 | D 150 | EPS 0.001 | L 44469.908 | R 758.000 | Avg L 0.043 | Avg R 0.758
U 1050000 | F 1050000 | G 70000 | D 152 | EPS 0.001 | L 44938.570 | R 738.000 | Avg L 0.043 | Avg R 0.738
U 1060000 | F 1060000 | G 70666 | D 153 | EPS 0.001 | L 45430.181 | R 763.000 | Avg L 0.043 | Avg R 0.763
U 1070000 | F 1070000 | G 71333 | D 155 | EPS 0.001 | L 45889.833 | R 737.000 | Avg L 0.043 | Avg R 0.737
U 1080000 | F 1080000 | G 72000 | D 156 | EPS 0.001 | L 46368.287 | R 737.000 | Avg L 0.043 | Avg R 0.737
U 1090000 | F 1090000 | G 72666 | D 158 | EPS 0.001 | L 46839.342 | R 736.000 | Avg L 0.043 | Avg R 0.736
