main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.1, eps_frames=1500000, eps_start=1.0, frames=3000000, games=500, gamma=0.99, log_interval=10000, lr=0.001, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 10000 | F 10000 | G 666 | D 1 | EPS 0.993 | L 328.962 | R 329.000 | Avg L 0.494 | Avg R 0.494
U 20000 | F 20000 | G 1333 | D 2 | EPS 0.987 | L 675.919 | R 508.000 | Avg L 0.507 | Avg R 0.508
U 30000 | F 30000 | G 2000 | D 3 | EPS 0.980 | L 1013.873 | R 519.000 | Avg L 0.507 | Avg R 0.519
U 40000 | F 40000 | G 2666 | D 4 | EPS 0.973 | L 1296.648 | R 452.000 | Avg L 0.486 | Avg R 0.452
U 50000 | F 50000 | G 3333 | D 8 | EPS 0.967 | L 1602.607 | R 442.000 | Avg L 0.481 | Avg R 0.442
U 60000 | F 60000 | G 4000 | D 9 | EPS 0.960 | L 1930.662 | R 484.000 | Avg L 0.483 | Avg R 0.484
U 70000 | F 70000 | G 4666 | D 11 | EPS 0.953 | L 2221.423 | R 453.000 | Avg L 0.476 | Avg R 0.453
U 80000 | F 80000 | G 5333 | D 12 | EPS 0.947 | L 2531.281 | R 463.000 | Avg L 0.475 | Avg R 0.463
U 90000 | F 90000 | G 6000 | D 14 | EPS 0.940 | L 2851.037 | R 482.000 | Avg L 0.475 | Avg R 0.482
U 100000 | F 100000 | G 6666 | D 15 | EPS 0.933 | L 3156.519 | R 453.000 | Avg L 0.474 | Avg R 0.453
U 110000 | F 110000 | G 7333 | D 16 | EPS 0.927 | L 3479.555 | R 473.000 | Avg L 0.475 | Avg R 0.473
U 120000 | F 120000 | G 8000 | D 18 | EPS 0.920 | L 3791.272 | R 468.000 | Avg L 0.474 | Avg R 0.468
U 130000 | F 130000 | G 8666 | D 19 | EPS 0.913 | L 4098.890 | R 460.000 | Avg L 0.473 | Avg R 0.460
U 140000 | F 140000 | G 9333 | D 20 | EPS 0.907 | L 4386.429 | R 428.000 | Avg L 0.470 | Avg R 0.428
U 150000 | F 150000 | G 10000 | D 21 | EPS 0.900 | L 4693.752 | R 444.000 | Avg L 0.469 | Avg R 0.444
U 160000 | F 160000 | G 10666 | D 23 | EPS 0.893 | L 5002.100 | R 470.000 | Avg L 0.469 | Avg R 0.470
U 170000 | F 170000 | G 11333 | D 24 | EPS 0.887 | L 5309.923 | R 466.000 | Avg L 0.469 | Avg R 0.466
U 180000 | F 180000 | G 12000 | D 25 | EPS 0.880 | L 5610.775 | R 452.000 | Avg L 0.468 | Avg R 0.452
U 190000 | F 190000 | G 12666 | D 26 | EPS 0.873 | L 5896.761 | R 446.000 | Avg L 0.466 | Avg R 0.446
U 200000 | F 200000 | G 13333 | D 28 | EPS 0.867 | L 6210.019 | R 465.000 | Avg L 0.466 | Avg R 0.465
U 210000 | F 210000 | G 14000 | D 29 | EPS 0.860 | L 6484.798 | R 432.000 | Avg L 0.463 | Avg R 0.432
U 220000 | F 220000 | G 14666 | D 30 | EPS 0.853 | L 6784.191 | R 434.000 | Avg L 0.463 | Avg R 0.434
U 230000 | F 230000 | G 15333 | D 31 | EPS 0.847 | L 7087.703 | R 446.000 | Avg L 0.462 | Avg R 0.446
U 240000 | F 240000 | G 16000 | D 32 | EPS 0.840 | L 7405.013 | R 467.000 | Avg L 0.463 | Avg R 0.467
U 250000 | F 250000 | G 16666 | D 34 | EPS 0.833 | L 7693.906 | R 438.000 | Avg L 0.462 | Avg R 0.438
