main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.01, eps_frames=75000, eps_start=1.0, frames=300000, games=500, log_interval=10000, lr=0.1, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 10000 | F 10000 | G 666 | D 1 | EPS 0.867 | L 313.710 | R 320.000 | Avg L 0.031 | Avg R 0.480
U 20000 | F 20000 | G 1333 | D 2 | EPS 0.733 | L 533.343 | R 642.000 | Avg L 0.027 | Avg R 0.482
U 30000 | F 30000 | G 2000 | D 3 | EPS 0.600 | L 898.300 | R 963.000 | Avg L 0.030 | Avg R 0.481
U 40000 | F 40000 | G 2666 | D 4 | EPS 0.467 | L 1209.439 | R 1281.000 | Avg L 0.030 | Avg R 0.480
U 50000 | F 50000 | G 3333 | D 6 | EPS 0.333 | L 1642.466 | R 1604.000 | Avg L 0.033 | Avg R 0.481
U 60000 | F 60000 | G 4000 | D 7 | EPS 0.200 | L 1919.344 | R 1934.000 | Avg L 0.032 | Avg R 0.483
U 70000 | F 70000 | G 4666 | D 8 | EPS 0.067 | L 2465.984 | R 2253.000 | Avg L 0.035 | Avg R 0.483
U 80000 | F 80000 | G 5333 | D 9 | EPS 0.010 | L 2829.039 | R 2579.000 | Avg L 0.035 | Avg R 0.484
U 90000 | F 90000 | G 6000 | D 11 | EPS 0.010 | L 2675.392 | R 2895.000 | Avg L 0.030 | Avg R 0.482
U 100000 | F 100000 | G 6666 | D 12 | EPS 0.010 | L 2645.136 | R 3209.000 | Avg L 0.026 | Avg R 0.481
U 110000 | F 110000 | G 7333 | D 13 | EPS 0.010 | L 3708.912 | R 3524.000 | Avg L 0.034 | Avg R 0.481
U 120000 | F 120000 | G 8000 | D 14 | EPS 0.010 | L 6000.866 | R 3837.000 | Avg L 0.050 | Avg R 0.480
U 130000 | F 130000 | G 8666 | D 15 | EPS 0.010 | L 5360.666 | R 4167.000 | Avg L 0.041 | Avg R 0.481
U 140000 | F 140000 | G 9333 | D 17 | EPS 0.010 | L 5558.820 | R 4498.000 | Avg L 0.040 | Avg R 0.482
U 150000 | F 150000 | G 10000 | D 19 | EPS 0.010 | L 5468.216 | R 4832.000 | Avg L 0.036 | Avg R 0.483
U 160000 | F 160000 | G 10666 | D 21 | EPS 0.010 | L 4817.900 | R 5148.000 | Avg L 0.030 | Avg R 0.483
U 170000 | F 170000 | G 11333 | D 22 | EPS 0.010 | L 5170.957 | R 5483.000 | Avg L 0.030 | Avg R 0.484
U 180000 | F 180000 | G 12000 | D 23 | EPS 0.010 | L 3604.399 | R 5811.000 | Avg L 0.020 | Avg R 0.484
U 190000 | F 190000 | G 12666 | D 24 | EPS 0.010 | L -3824286.956 | R 6179.000 | Avg L -20.128 | Avg R 0.488
U 200000 | F 200000 | G 13333 | D 25 | EPS 0.010 | L 70693298.684 | R 6501.000 | Avg L 353.466 | Avg R 0.488
U 210000 | F 210000 | G 14000 | D 27 | EPS 0.010 | L 80179854.934 | R 6867.000 | Avg L 381.809 | Avg R 0.490
U 220000 | F 220000 | G 14666 | D 28 | EPS 0.010 | L -317187686.183 | R 7245.000 | Avg L -1441.762 | Avg R 0.494
U 230000 | F 230000 | G 15333 | D 29 | EPS 0.010 | L -132635960.699 | R 7613.000 | Avg L -576.678 | Avg R 0.497
U 240000 | F 240000 | G 16000 | D 30 | EPS 0.010 | L -33214441.149 | R 7981.000 | Avg L -138.394 | Avg R 0.499
U 250000 | F 250000 | G 16666 | D 32 | EPS 0.010 | L -79681869.759 | R 8333.000 | Avg L -318.727 | Avg R 0.500
U 260000 | F 260000 | G 17333 | D 33 | EPS 0.010 | L -2554904.427 | R 8645.000 | Avg L -9.827 | Avg R 0.499
U 270000 | F 270000 | G 18000 | D 34 | EPS 0.010 | L 195406222.700 | R 8958.000 | Avg L 723.727 | Avg R 0.498
U 280000 | F 280000 | G 18666 | D 36 | EPS 0.010 | L 298033204.274 | R 9314.000 | Avg L 1064.404 | Avg R 0.499
U 290000 | F 290000 | G 19333 | D 37 | EPS 0.010 | L -40060770.147 | R 9628.000 | Avg L -138.141 | Avg R 0.498
U 300000 | F 300000 | G 20000 | D 38 | EPS 0.010 | L -305690540.801 | R 9905.000 | Avg L -1018.968 | Avg R 0.495
