main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.1, eps_frames=750000, eps_start=1.0, frames=3000000, games=500, log_interval=10000, lr=0.0001, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 10000 | F 10000 | G 666 | D 1 | EPS 0.987 | L 326.962 | R 327.000 | Avg L 0.033 | Avg R 0.491
U 20000 | F 20000 | G 1333 | D 2 | EPS 0.973 | L 679.974 | R 680.000 | Avg L 0.034 | Avg R 0.510
U 30000 | F 30000 | G 2000 | D 3 | EPS 0.960 | L 993.940 | R 994.000 | Avg L 0.033 | Avg R 0.497
U 40000 | F 40000 | G 2666 | D 4 | EPS 0.947 | L 1324.959 | R 1325.000 | Avg L 0.033 | Avg R 0.497
U 50000 | F 50000 | G 3333 | D 5 | EPS 0.933 | L 1649.991 | R 1650.000 | Avg L 0.033 | Avg R 0.495
U 60000 | F 60000 | G 4000 | D 6 | EPS 0.920 | L 1967.951 | R 1968.000 | Avg L 0.033 | Avg R 0.492
U 70000 | F 70000 | G 4666 | D 8 | EPS 0.907 | L 2283.868 | R 2284.000 | Avg L 0.033 | Avg R 0.489
U 80000 | F 80000 | G 5333 | D 9 | EPS 0.893 | L 2627.537 | R 2628.000 | Avg L 0.033 | Avg R 0.493
U 90000 | F 90000 | G 6000 | D 10 | EPS 0.880 | L 2947.682 | R 2948.000 | Avg L 0.033 | Avg R 0.491
U 100000 | F 100000 | G 6666 | D 11 | EPS 0.867 | L 3278.916 | R 3279.000 | Avg L 0.033 | Avg R 0.492
U 110000 | F 110000 | G 7333 | D 12 | EPS 0.853 | L 3615.602 | R 3616.000 | Avg L 0.033 | Avg R 0.493
U 120000 | F 120000 | G 8000 | D 13 | EPS 0.840 | L 3949.542 | R 3950.000 | Avg L 0.033 | Avg R 0.494
U 130000 | F 130000 | G 8666 | D 15 | EPS 0.827 | L 4267.428 | R 4268.000 | Avg L 0.033 | Avg R 0.492
U 140000 | F 140000 | G 9333 | D 16 | EPS 0.813 | L 4574.422 | R 4575.000 | Avg L 0.033 | Avg R 0.490
U 150000 | F 150000 | G 10000 | D 17 | EPS 0.800 | L 4893.341 | R 4894.000 | Avg L 0.033 | Avg R 0.489
U 160000 | F 160000 | G 10666 | D 18 | EPS 0.787 | L 5238.347 | R 4912.000 | Avg L 0.033 | Avg R 0.491
U 170000 | F 170000 | G 11333 | D 20 | EPS 0.773 | L 5582.822 | R 4904.000 | Avg L 0.033 | Avg R 0.490
U 180000 | F 180000 | G 12000 | D 21 | EPS 0.760 | L 5933.939 | R 4941.000 | Avg L 0.033 | Avg R 0.494
U 190000 | F 190000 | G 12666 | D 22 | EPS 0.747 | L 6277.001 | R 4953.000 | Avg L 0.033 | Avg R 0.495
U 200000 | F 200000 | G 13333 | D 23 | EPS 0.733 | L 6602.325 | R 4953.000 | Avg L 0.033 | Avg R 0.495
U 210000 | F 210000 | G 14000 | D 24 | EPS 0.720 | L 6925.006 | R 4958.000 | Avg L 0.033 | Avg R 0.496
U 220000 | F 220000 | G 14666 | D 26 | EPS 0.707 | L 7251.872 | R 4969.000 | Avg L 0.033 | Avg R 0.497
U 230000 | F 230000 | G 15333 | D 27 | EPS 0.693 | L 7592.181 | R 4965.000 | Avg L 0.033 | Avg R 0.496
U 240000 | F 240000 | G 16000 | D 28 | EPS 0.680 | L 7921.748 | R 4974.000 | Avg L 0.033 | Avg R 0.497
U 250000 | F 250000 | G 16666 | D 29 | EPS 0.667 | L 8249.512 | R 4970.000 | Avg L 0.033 | Avg R 0.497
U 260000 | F 260000 | G 17333 | D 31 | EPS 0.653 | L 8569.347 | R 4953.000 | Avg L 0.033 | Avg R 0.495
U 270000 | F 270000 | G 18000 | D 32 | EPS 0.640 | L 8878.996 | R 4928.000 | Avg L 0.033 | Avg R 0.493
U 280000 | F 280000 | G 18666 | D 33 | EPS 0.627 | L 9189.638 | R 4921.000 | Avg L 0.033 | Avg R 0.492
U 290000 | F 290000 | G 19333 | D 34 | EPS 0.613 | L 9505.623 | R 4931.000 | Avg L 0.033 | Avg R 0.493
U 300000 | F 300000 | G 20000 | D 35 | EPS 0.600 | L 9832.618 | R 4939.000 | Avg L 0.033 | Avg R 0.494
U 310000 | F 310000 | G 20666 | D 37 | EPS 0.587 | L 10174.906 | R 4936.000 | Avg L 0.033 | Avg R 0.494
U 320000 | F 320000 | G 21333 | D 38 | EPS 0.573 | L 10484.252 | R 4900.000 | Avg L 0.033 | Avg R 0.490
U 330000 | F 330000 | G 22000 | D 39 | EPS 0.560 | L 10806.474 | R 4871.000 | Avg L 0.033 | Avg R 0.487
U 340000 | F 340000 | G 22666 | D 40 | EPS 0.547 | L 11136.871 | R 4859.000 | Avg L 0.033 | Avg R 0.486
U 350000 | F 350000 | G 23333 | D 42 | EPS 0.533 | L 11464.668 | R 4862.000 | Avg L 0.033 | Avg R 0.486
U 360000 | F 360000 | G 24000 | D 43 | EPS 0.520 | L 11756.961 | R 4831.000 | Avg L 0.033 | Avg R 0.483
U 370000 | F 370000 | G 24666 | D 44 | EPS 0.507 | L 12050.614 | R 4798.000 | Avg L 0.033 | Avg R 0.480
U 380000 | F 380000 | G 25333 | D 45 | EPS 0.493 | L 12365.186 | R 4772.000 | Avg L 0.033 | Avg R 0.477
U 390000 | F 390000 | G 26000 | D 47 | EPS 0.480 | L 12689.528 | R 4767.000 | Avg L 0.033 | Avg R 0.477
U 400000 | F 400000 | G 26666 | D 48 | EPS 0.467 | L 12990.943 | R 4741.000 | Avg L 0.032 | Avg R 0.474
U 410000 | F 410000 | G 27333 | D 49 | EPS 0.453 | L 13309.049 | R 4740.000 | Avg L 0.032 | Avg R 0.474
U 420000 | F 420000 | G 28000 | D 51 | EPS 0.440 | L 13616.969 | R 4739.000 | Avg L 0.032 | Avg R 0.474
U 430000 | F 430000 | G 28666 | D 52 | EPS 0.427 | L 13929.803 | R 4740.000 | Avg L 0.032 | Avg R 0.474
U 440000 | F 440000 | G 29333 | D 53 | EPS 0.413 | L 14233.995 | R 4727.000 | Avg L 0.032 | Avg R 0.473
U 450000 | F 450000 | G 30000 | D 54 | EPS 0.400 | L 14547.729 | R 4714.000 | Avg L 0.032 | Avg R 0.471
U 460000 | F 460000 | G 30666 | D 56 | EPS 0.387 | L 14856.695 | R 4681.000 | Avg L 0.032 | Avg R 0.468
U 470000 | F 470000 | G 31333 | D 57 | EPS 0.373 | L 15166.370 | R 4682.000 | Avg L 0.032 | Avg R 0.468
