main.py --seed 7

Namespace(algo='q-learning', convg=0.01, env='tokens-v0', frames=3000, games=500, log_interval=1, lr=0.01, model=None, save_interval=30, seed=7)

Environments loaded

Training status loaded

U 125 | F 125 | G 8 | D 0 | EPS 0.835
U 126 | F 126 | G 8 | D 0 | EPS 0.833
U 127 | F 127 | G 8 | D 0 | EPS 0.832
U 128 | F 128 | G 8 | D 0 | EPS 0.831
U 129 | F 129 | G 8 | D 0 | EPS 0.829
U 130 | F 130 | G 8 | D 0 | EPS 0.828
U 131 | F 131 | G 8 | D 0 | EPS 0.827
U 132 | F 132 | G 8 | D 0 | EPS 0.825
U 133 | F 133 | G 8 | D 0 | EPS 0.824
U 134 | F 134 | G 8 | D 0 | EPS 0.823
U 135 | F 135 | G 9 | D 0 | EPS 0.821
U 136 | F 136 | G 9 | D 0 | EPS 0.820
U 137 | F 137 | G 9 | D 0 | EPS 0.819
U 138 | F 138 | G 9 | D 0 | EPS 0.817
U 139 | F 139 | G 9 | D 0 | EPS 0.816
U 140 | F 140 | G 9 | D 0 | EPS 0.815
U 141 | F 141 | G 9 | D 0 | EPS 0.813
U 142 | F 142 | G 9 | D 0 | EPS 0.812
U 143 | F 143 | G 9 | D 0 | EPS 0.811
U 144 | F 144 | G 9 | D 0 | EPS 0.809
U 145 | F 145 | G 9 | D 0 | EPS 0.808
U 146 | F 146 | G 9 | D 0 | EPS 0.807
U 147 | F 147 | G 9 | D 0 | EPS 0.805
U 148 | F 148 | G 9 | D 0 | EPS 0.804
U 149 | F 149 | G 9 | D 0 | EPS 0.803
U 150 | F 150 | G 10 | D 0 | EPS 0.801
U 151 | F 151 | G 10 | D 0 | EPS 0.800
U 152 | F 152 | G 10 | D 0 | EPS 0.799
U 153 | F 153 | G 10 | D 0 | EPS 0.797
U 154 | F 154 | G 10 | D 0 | EPS 0.796
U 155 | F 155 | G 10 | D 0 | EPS 0.795
U 156 | F 156 | G 10 | D 0 | EPS 0.793
U 157 | F 157 | G 10 | D 0 | EPS 0.792
U 158 | F 158 | G 10 | D 0 | EPS 0.791
U 159 | F 159 | G 10 | D 0 | EPS 0.789
U 160 | F 160 | G 10 | D 0 | EPS 0.788
U 161 | F 161 | G 10 | D 0 | EPS 0.787
U 162 | F 162 | G 10 | D 0 | EPS 0.785
U 163 | F 163 | G 10 | D 0 | EPS 0.784
U 164 | F 164 | G 10 | D 0 | EPS 0.783
U 165 | F 165 | G 11 | D 0 | EPS 0.781
U 166 | F 166 | G 11 | D 0 | EPS 0.780
U 167 | F 167 | G 11 | D 0 | EPS 0.779
U 168 | F 168 | G 11 | D 0 | EPS 0.777
U 169 | F 169 | G 11 | D 0 | EPS 0.776
U 170 | F 170 | G 11 | D 0 | EPS 0.775
U 171 | F 171 | G 11 | D 0 | EPS 0.773
U 172 | F 172 | G 11 | D 0 | EPS 0.772
U 173 | F 173 | G 11 | D 0 | EPS 0.771
U 174 | F 174 | G 11 | D 0 | EPS 0.769
U 175 | F 175 | G 11 | D 0 | EPS 0.768
U 176 | F 176 | G 11 | D 0 | EPS 0.767
U 177 | F 177 | G 11 | D 0 | EPS 0.765
U 178 | F 178 | G 11 | D 0 | EPS 0.764
U 179 | F 179 | G 11 | D 0 | EPS 0.763
U 180 | F 180 | G 12 | D 0 | EPS 0.761
U 181 | F 181 | G 12 | D 0 | EPS 0.760
U 182 | F 182 | G 12 | D 0 | EPS 0.759
U 183 | F 183 | G 12 | D 0 | EPS 0.757
U 184 | F 184 | G 12 | D 0 | EPS 0.756
U 185 | F 185 | G 12 | D 0 | EPS 0.755
U 186 | F 186 | G 12 | D 0 | EPS 0.753
U 187 | F 187 | G 12 | D 0 | EPS 0.752
U 188 | F 188 | G 12 | D 0 | EPS 0.751
U 189 | F 189 | G 12 | D 0 | EPS 0.749
U 190 | F 190 | G 12 | D 0 | EPS 0.748
U 191 | F 191 | G 12 | D 0 | EPS 0.747
U 192 | F 192 | G 12 | D 0 | EPS 0.745
U 193 | F 193 | G 12 | D 0 | EPS 0.744
U 194 | F 194 | G 12 | D 0 | EPS 0.743
U 195 | F 195 | G 13 | D 0 | EPS 0.741
U 196 | F 196 | G 13 | D 0 | EPS 0.740
U 197 | F 197 | G 13 | D 0 | EPS 0.739
U 198 | F 198 | G 13 | D 0 | EPS 0.737
U 199 | F 199 | G 13 | D 0 | EPS 0.736
U 200 | F 200 | G 13 | D 0 | EPS 0.735
U 201 | F 201 | G 13 | D 0 | EPS 0.733
U 202 | F 202 | G 13 | D 0 | EPS 0.732
U 203 | F 203 | G 13 | D 0 | EPS 0.731
U 204 | F 204 | G 13 | D 0 | EPS 0.729
U 205 | F 205 | G 13 | D 0 | EPS 0.728
U 206 | F 206 | G 13 | D 0 | EPS 0.727
