update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
3,3,1,0,0.998,0.09997,1.0,1,1.0,1.0,1.0,1,1.0,1.0
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
4,4,1,0,0.998,0.09997,1.0,1,1.0,1.0,1.0,1,1.0,1.0
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
5,5,1,0,0.9973333333333333,0.09996000000000001,1.0,1,1.0,1.0,1.0,1,1.0,1.0
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
6,6,1,0,0.9966666666666667,0.09995000000000001,1.0,1,1.0,1.0,1.0,1,1.0,1.0
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
6,6,2,0,0.996,0.09994,1.0,1,0.5,0.5,1.0,1,0.5,0.5
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
7,7,2,0,0.996,0.09994,1.0,1,0.5,0.5,1.0,1,0.5,0.5
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
8,8,2,0,0.9953333333333333,0.09993,1.0,1,0.5,0.5,1.0,1,0.5,0.5
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
9,9,2,0,0.9946666666666667,0.09992000000000001,1.0,1,0.5,0.5,1.0,1,0.5,0.5
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
9,9,3,0,0.994,0.09991,1.0,1,0.3333333333333333,0.3333333333333333,1.0,1,0.333333333333,0.333333333333
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
10,10,3,0,0.994,0.09991,1.0,1,0.3333333333333333,0.3333333333333333,1.0,1,0.333333333333,0.333333333333
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
11,11,3,0,0.9933333333333333,0.0999,1.0,1,0.3333333333333333,0.3333333333333333,1.0,1,0.333333333333,0.333333333333
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
