main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=1500000, eps_start=1.0, frames=3000000, games=500, gamma=0.99, log_interval=10000, lr=1e-06, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 10000 | F 10000 | G 666 | D 1 | EPS 0.993 | L 329.000 | R 329.000 | Avg L 0.494 | Avg R 0.494
U 970000 | F 970000 | G 64666 | D 110 | EPS 0.353 | L 345.000 | R 345.000 | Avg L 0.345 | Avg R 0.345
U 980000 | F 980000 | G 65333 | D 111 | EPS 0.347 | L 321.999 | R 322.000 | Avg L 0.322 | Avg R 0.322
U 990000 | F 990000 | G 66000 | D 112 | EPS 0.340 | L 323.997 | R 324.000 | Avg L 0.324 | Avg R 0.324
U 1000000 | F 1000000 | G 66666 | D 113 | EPS 0.333 | L 338.993 | R 339.000 | Avg L 0.339 | Avg R 0.339
U 1010000 | F 1010000 | G 67333 | D 114 | EPS 0.327 | L 378.995 | R 379.000 | Avg L 0.379 | Avg R 0.379
U 1020000 | F 1020000 | G 68000 | D 115 | EPS 0.320 | L 380.995 | R 381.000 | Avg L 0.381 | Avg R 0.381
U 1030000 | F 1030000 | G 68666 | D 116 | EPS 0.313 | L 357.994 | R 358.000 | Avg L 0.358 | Avg R 0.358
U 1040000 | F 1040000 | G 69333 | D 117 | EPS 0.307 | L 342.994 | R 343.000 | Avg L 0.343 | Avg R 0.343
U 1050000 | F 1050000 | G 70000 | D 119 | EPS 0.300 | L 345.994 | R 346.000 | Avg L 0.346 | Avg R 0.346
U 1060000 | F 1060000 | G 70666 | D 120 | EPS 0.293 | L 332.988 | R 333.000 | Avg L 0.333 | Avg R 0.333
U 1070000 | F 1070000 | G 71333 | D 121 | EPS 0.287 | L 318.991 | R 319.000 | Avg L 0.319 | Avg R 0.319
U 1080000 | F 1080000 | G 72000 | D 122 | EPS 0.280 | L 323.989 | R 324.000 | Avg L 0.324 | Avg R 0.324
U 1090000 | F 1090000 | G 72666 | D 123 | EPS 0.273 | L 356.994 | R 357.000 | Avg L 0.357 | Avg R 0.357
U 1100000 | F 1100000 | G 73333 | D 124 | EPS 0.267 | L 360.991 | R 361.000 | Avg L 0.361 | Avg R 0.361
U 1110000 | F 1110000 | G 74000 | D 125 | EPS 0.260 | L 357.996 | R 358.000 | Avg L 0.358 | Avg R 0.358
U 1120000 | F 1120000 | G 74666 | D 126 | EPS 0.253 | L 344.999 | R 345.000 | Avg L 0.345 | Avg R 0.345
U 1130000 | F 1130000 | G 75333 | D 128 | EPS 0.247 | L 349.000 | R 349.000 | Avg L 0.349 | Avg R 0.349
U 1140000 | F 1140000 | G 76000 | D 129 | EPS 0.240 | L 364.995 | R 365.000 | Avg L 0.365 | Avg R 0.365
U 1150000 | F 1150000 | G 76666 | D 130 | EPS 0.233 | L 393.993 | R 394.000 | Avg L 0.394 | Avg R 0.394
U 1160000 | F 1160000 | G 77333 | D 131 | EPS 0.227 | L 377.990 | R 378.000 | Avg L 0.378 | Avg R 0.378
U 1170000 | F 1170000 | G 78000 | D 132 | EPS 0.220 | L 333.990 | R 334.000 | Avg L 0.334 | Avg R 0.334
U 1180000 | F 1180000 | G 78666 | D 133 | EPS 0.213 | L 331.996 | R 332.000 | Avg L 0.332 | Avg R 0.332
U 1190000 | F 1190000 | G 79333 | D 134 | EPS 0.207 | L 333.995 | R 334.000 | Avg L 0.334 | Avg R 0.334
U 1200000 | F 1200000 | G 80000 | D 136 | EPS 0.200 | L 317.994 | R 318.000 | Avg L 0.318 | Avg R 0.318
U 1210000 | F 1210000 | G 80666 | D 137 | EPS 0.193 | L 323.991 | R 324.000 | Avg L 0.324 | Avg R 0.324
U 1220000 | F 1220000 | G 81333 | D 138 | EPS 0.187 | L 314.996 | R 315.000 | Avg L 0.315 | Avg R 0.315
U 1230000 | F 1230000 | G 82000 | D 139 | EPS 0.180 | L 327.993 | R 328.000 | Avg L 0.328 | Avg R 0.328
U 1240000 | F 1240000 | G 82666 | D 140 | EPS 0.173 | L 359.987 | R 360.000 | Avg L 0.360 | Avg R 0.360
U 1250000 | F 1250000 | G 83333 | D 141 | EPS 0.167 | L 335.994 | R 336.000 | Avg L 0.336 | Avg R 0.336
U 1260000 | F 1260000 | G 84000 | D 142 | EPS 0.160 | L 325.998 | R 326.000 | Avg L 0.326 | Avg R 0.326
U 1270000 | F 1270000 | G 84666 | D 143 | EPS 0.153 | L 314.991 | R 315.000 | Avg L 0.315 | Avg R 0.315
U 1280000 | F 1280000 | G 85333 | D 145 | EPS 0.147 | L 316.991 | R 317.000 | Avg L 0.317 | Avg R 0.317
U 1290000 | F 1290000 | G 86000 | D 146 | EPS 0.140 | L 344.992 | R 345.000 | Avg L 0.345 | Avg R 0.345
U 1300000 | F 1300000 | G 86666 | D 147 | EPS 0.133 | L 358.991 | R 359.000 | Avg L 0.359 | Avg R 0.359
U 1310000 | F 1310000 | G 87333 | D 148 | EPS 0.127 | L 360.994 | R 361.000 | Avg L 0.361 | Avg R 0.361
U 1320000 | F 1320000 | G 88000 | D 149 | EPS 0.120 | L 330.000 | R 330.000 | Avg L 0.330 | Avg R 0.330
U 1330000 | F 1330000 | G 88666 | D 150 | EPS 0.113 | L 336.986 | R 337.000 | Avg L 0.337 | Avg R 0.337
U 1340000 | F 1340000 | G 89333 | D 151 | EPS 0.107 | L 297.989 | R 298.000 | Avg L 0.298 | Avg R 0.298
U 1350000 | F 1350000 | G 90000 | D 152 | EPS 0.100 | L 306.995 | R 307.000 | Avg L 0.307 | Avg R 0.307
U 1360000 | F 1360000 | G 90666 | D 154 | EPS 0.093 | L 348.989 | R 349.000 | Avg L 0.349 | Avg R 0.349
U 1370000 | F 1370000 | G 91333 | D 155 | EPS 0.087 | L 343.986 | R 344.000 | Avg L 0.344 | Avg R 0.344
U 1380000 | F 1380000 | G 92000 | D 156 | EPS 0.080 | L 335.988 | R 336.000 | Avg L 0.336 | Avg R 0.336
U 1390000 | F 1390000 | G 92666 | D 157 | EPS 0.073 | L 319.992 | R 320.000 | Avg L 0.320 | Avg R 0.320
U 1400000 | F 1400000 | G 93333 | D 158 | EPS 0.067 | L 326.990 | R 327.000 | Avg L 0.327 | Avg R 0.327
U 1410000 | F 1410000 | G 94000 | D 159 | EPS 0.060 | L 334.987 | R 335.000 | Avg L 0.335 | Avg R 0.335
U 1420000 | F 1420000 | G 94666 | D 160 | EPS 0.053 | L 335.988 | R 336.000 | Avg L 0.336 | Avg R 0.336
U 1430000 | F 1430000 | G 95333 | D 161 | EPS 0.047 | L 331.992 | R 332.000 | Avg L 0.332 | Avg R 0.332
U 1440000 | F 1440000 | G 96000 | D 163 | EPS 0.040 | L 345.987 | R 346.000 | Avg L 0.346 | Avg R 0.346
U 1450000 | F 1450000 | G 96666 | D 164 | EPS 0.033 | L 307.990 | R 308.000 | Avg L 0.308 | Avg R 0.308
U 1460000 | F 1460000 | G 97333 | D 165 | EPS 0.027 | L 328.987 | R 329.000 | Avg L 0.329 | Avg R 0.329
U 1470000 | F 1470000 | G 98000 | D 166 | EPS 0.020 | L 338.983 | R 339.000 | Avg L 0.339 | Avg R 0.339
U 1480000 | F 1480000 | G 98666 | D 167 | EPS 0.013 | L 312.983 | R 313.000 | Avg L 0.313 | Avg R 0.313
U 1490000 | F 1490000 | G 99333 | D 168 | EPS 0.007 | L 365.979 | R 366.000 | Avg L 0.366 | Avg R 0.366
U 1500000 | F 1500000 | G 100000 | D 169 | EPS 0.001 | L 361.983 | R 362.000 | Avg L 0.362 | Avg R 0.362
U 1510000 | F 1510000 | G 100666 | D 170 | EPS 0.001 | L 360.986 | R 361.000 | Avg L 0.361 | Avg R 0.361
U 1520000 | F 1520000 | G 101333 | D 172 | EPS 0.001 | L 368.983 | R 369.000 | Avg L 0.369 | Avg R 0.369
U 1530000 | F 1530000 | G 102000 | D 173 | EPS 0.001 | L 377.983 | R 378.000 | Avg L 0.378 | Avg R 0.378
U 1540000 | F 1540000 | G 102666 | D 174 | EPS 0.001 | L 275.987 | R 276.000 | Avg L 0.276 | Avg R 0.276
U 1550000 | F 1550000 | G 103333 | D 175 | EPS 0.001 | L 268.988 | R 269.000 | Avg L 0.269 | Avg R 0.269
U 1560000 | F 1560000 | G 104000 | D 176 | EPS 0.001 | L 314.984 | R 315.000 | Avg L 0.315 | Avg R 0.315
U 1570000 | F 1570000 | G 104666 | D 177 | EPS 0.001 | L 313.981 | R 314.000 | Avg L 0.314 | Avg R 0.314
U 1580000 | F 1580000 | G 105333 | D 178 | EPS 0.001 | L 344.983 | R 345.000 | Avg L 0.345 | Avg R 0.345
U 1590000 | F 1590000 | G 106000 | D 179 | EPS 0.001 | L 348.984 | R 349.000 | Avg L 0.349 | Avg R 0.349
U 1600000 | F 1600000 | G 106666 | D 181 | EPS 0.001 | L 296.988 | R 297.000 | Avg L 0.297 | Avg R 0.297
U 1610000 | F 1610000 | G 107333 | D 182 | EPS 0.001 | L 337.986 | R 338.000 | Avg L 0.338 | Avg R 0.338
U 1620000 | F 1620000 | G 108000 | D 183 | EPS 0.001 | L 351.983 | R 352.000 | Avg L 0.352 | Avg R 0.352
U 1630000 | F 1630000 | G 108666 | D 184 | EPS 0.001 | L 328.983 | R 329.000 | Avg L 0.329 | Avg R 0.329
U 1640000 | F 1640000 | G 109333 | D 185 | EPS 0.001 | L 310.981 | R 311.000 | Avg L 0.311 | Avg R 0.311
U 1650000 | F 1650000 | G 110000 | D 186 | EPS 0.001 | L 285.982 | R 286.000 | Avg L 0.286 | Avg R 0.286
U 1660000 | F 1660000 | G 110666 | D 187 | EPS 0.001 | L 323.982 | R 324.000 | Avg L 0.324 | Avg R 0.324
U 1670000 | F 1670000 | G 111333 | D 188 | EPS 0.001 | L 332.983 | R 333.000 | Avg L 0.333 | Avg R 0.333
U 1680000 | F 1680000 | G 112000 | D 190 | EPS 0.001 | L 287.983 | R 288.000 | Avg L 0.288 | Avg R 0.288
U 1690000 | F 1690000 | G 112666 | D 191 | EPS 0.001 | L 301.985 | R 302.000 | Avg L 0.302 | Avg R 0.302
U 1700000 | F 1700000 | G 113333 | D 195 | EPS 0.001 | L 281.986 | R 282.000 | Avg L 0.282 | Avg R 0.282
U 1710000 | F 1710000 | G 114000 | D 196 | EPS 0.001 | L 308.983 | R 309.000 | Avg L 0.309 | Avg R 0.309
U 1720000 | F 1720000 | G 114666 | D 197 | EPS 0.001 | L 314.980 | R 315.000 | Avg L 0.315 | Avg R 0.315
U 1730000 | F 1730000 | G 115333 | D 198 | EPS 0.001 | L 312.982 | R 313.000 | Avg L 0.313 | Avg R 0.313
U 1740000 | F 1740000 | G 116000 | D 200 | EPS 0.001 | L 317.986 | R 318.000 | Avg L 0.318 | Avg R 0.318
U 1750000 | F 1750000 | G 116666 | D 201 | EPS 0.001 | L 337.979 | R 338.000 | Avg L 0.338 | Avg R 0.338
U 1760000 | F 1760000 | G 117333 | D 202 | EPS 0.001 | L 351.980 | R 352.000 | Avg L 0.352 | Avg R 0.352
U 1770000 | F 1770000 | G 118000 | D 203 | EPS 0.001 | L 378.983 | R 379.000 | Avg L 0.379 | Avg R 0.379
U 1780000 | F 1780000 | G 118666 | D 204 | EPS 0.001 | L 407.976 | R 408.000 | Avg L 0.408 | Avg R 0.408
U 1790000 | F 1790000 | G 119333 | D 205 | EPS 0.001 | L 402.968 | R 403.000 | Avg L 0.403 | Avg R 0.403
U 1800000 | F 1800000 | G 120000 | D 206 | EPS 0.001 | L 390.975 | R 391.000 | Avg L 0.391 | Avg R 0.391
U 1810000 | F 1810000 | G 120666 | D 207 | EPS 0.001 | L 372.983 | R 373.000 | Avg L 0.373 | Avg R 0.373
U 1820000 | F 1820000 | G 121333 | D 209 | EPS 0.001 | L 328.979 | R 329.000 | Avg L 0.329 | Avg R 0.329
U 1830000 | F 1830000 | G 122000 | D 210 | EPS 0.001 | L 377.975 | R 378.000 | Avg L 0.378 | Avg R 0.378
U 1840000 | F 1840000 | G 122666 | D 211 | EPS 0.001 | L 430.974 | R 431.000 | Avg L 0.431 | Avg R 0.431
U 1850000 | F 1850000 | G 123333 | D 212 | EPS 0.001 | L 399.973 | R 400.000 | Avg L 0.400 | Avg R 0.400
U 1860000 | F 1860000 | G 124000 | D 213 | EPS 0.001 | L 298.981 | R 299.000 | Avg L 0.299 | Avg R 0.299
U 1870000 | F 1870000 | G 124666 | D 214 | EPS 0.001 | L 333.979 | R 334.000 | Avg L 0.334 | Avg R 0.334
U 1880000 | F 1880000 | G 125333 | D 215 | EPS 0.001 | L 309.977 | R 310.000 | Avg L 0.310 | Avg R 0.310
U 1890000 | F 1890000 | G 126000 | D 217 | EPS 0.001 | L 300.973 | R 301.000 | Avg L 0.301 | Avg R 0.301
U 1900000 | F 1900000 | G 126666 | D 218 | EPS 0.001 | L 316.974 | R 317.000 | Avg L 0.317 | Avg R 0.317
U 1910000 | F 1910000 | G 127333 | D 219 | EPS 0.001 | L 361.972 | R 362.000 | Avg L 0.362 | Avg R 0.362
U 1920000 | F 1920000 | G 128000 | D 220 | EPS 0.001 | L 376.973 | R 377.000 | Avg L 0.377 | Avg R 0.377
U 1930000 | F 1930000 | G 128666 | D 221 | EPS 0.001 | L 325.980 | R 326.000 | Avg L 0.326 | Avg R 0.326
U 1940000 | F 1940000 | G 129333 | D 222 | EPS 0.001 | L 332.981 | R 333.000 | Avg L 0.333 | Avg R 0.333
U 1950000 | F 1950000 | G 130000 | D 223 | EPS 0.001 | L 369.979 | R 370.000 | Avg L 0.370 | Avg R 0.370
U 1960000 | F 1960000 | G 130666 | D 224 | EPS 0.001 | L 384.972 | R 385.000 | Avg L 0.385 | Avg R 0.385
U 1970000 | F 1970000 | G 131333 | D 226 | EPS 0.001 | L 364.970 | R 365.000 | Avg L 0.365 | Avg R 0.365
U 1980000 | F 1980000 | G 132000 | D 227 | EPS 0.001 | L 347.974 | R 348.000 | Avg L 0.348 | Avg R 0.348
U 1990000 | F 1990000 | G 132666 | D 228 | EPS 0.001 | L 330.975 | R 331.000 | Avg L 0.331 | Avg R 0.331
U 2000000 | F 2000000 | G 133333 | D 229 | EPS 0.001 | L 289.981 | R 290.000 | Avg L 0.290 | Avg R 0.290
U 2010000 | F 2010000 | G 134000 | D 230 | EPS 0.001 | L 305.983 | R 306.000 | Avg L 0.306 | Avg R 0.306
U 2020000 | F 2020000 | G 134666 | D 231 | EPS 0.001 | L 326.977 | R 327.000 | Avg L 0.327 | Avg R 0.327
U 2030000 | F 2030000 | G 135333 | D 232 | EPS 0.001 | L 344.977 | R 345.000 | Avg L 0.345 | Avg R 0.345
U 2040000 | F 2040000 | G 136000 | D 233 | EPS 0.001 | L 335.974 | R 336.000 | Avg L 0.336 | Avg R 0.336
U 2050000 | F 2050000 | G 136666 | D 235 | EPS 0.001 | L 355.970 | R 356.000 | Avg L 0.356 | Avg R 0.356
U 2060000 | F 2060000 | G 137333 | D 236 | EPS 0.001 | L 348.973 | R 349.000 | Avg L 0.349 | Avg R 0.349
