main.py --seed 7 --lr 0.0001

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=3750000, eps_start=1.0, frames=15000000, games=500, gamma=0.99, log_interval=10000, lr=0.0001, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 480000 | F 480000 | G 160000 | D 58 | EPS 0.872 | L 441.575 | R 442.000 | Avg L 0.442 | Avg R 0.442
U 490000 | F 490000 | G 163333 | D 59 | EPS 0.869 | L 446.415 | R 446.000 | Avg L 0.446 | Avg R 0.446
U 500000 | F 500000 | G 166666 | D 61 | EPS 0.867 | L 409.795 | R 410.000 | Avg L 0.410 | Avg R 0.410
U 510000 | F 510000 | G 170000 | D 62 | EPS 0.864 | L 464.942 | R 467.000 | Avg L 0.465 | Avg R 0.467
U 520000 | F 520000 | G 173333 | D 63 | EPS 0.861 | L 451.160 | R 457.000 | Avg L 0.451 | Avg R 0.457
U 530000 | F 530000 | G 176666 | D 64 | EPS 0.859 | L 435.713 | R 432.000 | Avg L 0.436 | Avg R 0.432
U 540000 | F 540000 | G 180000 | D 65 | EPS 0.856 | L 425.395 | R 432.000 | Avg L 0.425 | Avg R 0.432
U 550000 | F 550000 | G 183333 | D 67 | EPS 0.853 | L 421.488 | R 426.000 | Avg L 0.421 | Avg R 0.426
U 560000 | F 560000 | G 186666 | D 68 | EPS 0.851 | L 435.345 | R 439.000 | Avg L 0.435 | Avg R 0.439
U 570000 | F 570000 | G 190000 | D 69 | EPS 0.848 | L 453.718 | R 453.000 | Avg L 0.454 | Avg R 0.453
U 580000 | F 580000 | G 193333 | D 70 | EPS 0.845 | L 428.025 | R 431.000 | Avg L 0.428 | Avg R 0.431
U 590000 | F 590000 | G 196666 | D 72 | EPS 0.843 | L 419.036 | R 422.000 | Avg L 0.419 | Avg R 0.422
U 600000 | F 600000 | G 200000 | D 73 | EPS 0.840 | L 451.504 | R 457.000 | Avg L 0.452 | Avg R 0.457
